Key,EN,ZH
TROUPE_LEADER_DECLINE_QUEST1,"Ah... I understand, stranger. I presume too much of one who is not a flea.&lt;page&gt;I&#8217;ve heard the settlement below us is setting up a wishwall. Perhaps I&#8217;ll send Grishkin down to hang up our wish...&lt;page&gt;",啊...我明白，陌生人。我认为不是一个不是跳蚤的人。也许我会把格里什金送下来挂断我们的愿望...＆lt; page＆gt;
TROUPE_HUNTER_EMPTY,"Bug not flea, my learnings, all have been scratched to your maps. Can give no more.&lt;page&gt;Leave now! Seek and save lost fleas, for a caravan full and whole!",虫子不是跳蚤，我的学习，所有这些都被划伤了您的地图。现在不再给予。＆lt; page＆gt;寻求并节省跳蚤，为大篷车全部和整体旅行！
TROUPE_LEADER_INFO_HUNTER,"Have you met her yet? Our burly new companion, Vog! Fresh returned from a long time spent tracking.&lt;hpage&gt;We have met, Fleamaster. It gladdens me that so strong a flea exists as her.&lt;hpage&gt;Yours was a caravan sorely lacking for protection, and I am too bound by my own tasks to provide it for you.&lt;page&gt;Why, we would never impose so! And now, no matter! Her scent may be strong, and her taste for brew bottomless, but her skill is sharp.&lt;page&gt;If predators draw close, her talents will provide much confidence to our caravan.",你见过她吗？我们魁梧的新伴侣VOG！Frest Frest从长时间的跟踪中返回。它使我高兴的是，像她一样坚强的跳蚤。现在，没关系！她的气味可能很浓郁，她对啤酒无底的口味，但她的技巧很敏锐。
TROUPE_HUNTER_MEET_NOMAP_ACT3,"You remain, bug not flea? Would you seek service of me, ehh? Mine is knowledge much, the places of the lost little ones, heard and smelt across the caves.&lt;page&gt;You could help find! And bring! For all to come together now that times turn dark...&lt;page&gt;But no map you hold! If learnings are wanted, a map must be owned. Until then, we have no trade to make.",您仍然存在，虫子不是跳蚤吗？你会寻求我的服务吗？我的知识很众所周知，迷失的小孩子的地方在洞穴中听到和闻到了。并带上！现在，所有的时候都会在一起，因为时代变黑了...＆lt; pag＆gt;但是您没有地图！如果需要学习，则必须拥有地图。在此之前，我们没有交易。
TROUPE_MEMBER_SHORT_REPEAT_FLEATOPIA_ACT3,"Our travels have end, and now soon the world will also have end! At such bitter of times, brew with friends is most sweet.",我们的旅行已经结束，现在世界也将结束！在如此痛苦的时候，与朋友酿造最甜蜜。
CARAVAN_LECH_INTRO,"&lt;hpage&gt;Greetings again, sir flea. I see you were able to unite safely with this caravan.&lt;page&gt;Oh yes! All thanks to you! Dear, sweet you! Heh heh!&lt;page&gt;The Fleamaster, that old bore, tells me to call you Miss Hornet. But such a prickly name ill befits such a delicate beauty! Shall I call you something prettier, like &#8216;Nectarsweet&#8217;, my dear?&lt;hpage&gt;You shall not. Address me by my name or not at all.&lt;page&gt;Gradak! Of course. Of course! Heh heh. And now, I shall let you in on my little secret. My carriage doubles as a soothing spa, you see. It&#8217;s most ingenious.&lt;page&gt;The water inside is piping hot, and purer than a psalm! Heh heh! I&#8217;d gladly let you soak inside, for a modest fee!",＆lt; hpage＆gt;再次问候，跳蚤先生。我看到您能够安全地与这座大篷车结合在一起。谢谢你！亲爱的，亲爱的你！呵呵！但是，这样一个刺刺的名字不适合如此精致的美丽！我可以称呼您更漂亮的东西，例如＆＃8216; Nectarsweet＆＃8217;，亲爱的？用我的名字或根本不给我讲话。当然。当然！呵呵。现在，我将让您了解我的小秘密。您知道，我的马车是舒缓的水疗中心。这是最巧妙的。呵呵！我很乐意让您浸入里面，以适度的费用！
FG_BOUNCE_INTRO_FIRST,"Dear one, how shameful for the world to end while poor Kratt still has so much living left in him!&lt;page&gt;But how sweet of you to join me here! Will you play the Flea Bounce game, that I may appreciate the beauty of your agile form while I await my doom?&lt;page&gt;To play is simple. Leap up and keep bouncing on the fleas who fly past for as long as you are able!",亲爱的一个人，对于世界结束的可耻，而可怜的克拉特仍然生活在他身上如此之多！您会玩跳蚤跳动游戏吗，我可以在等待厄运时欣赏您敏捷形式的美丽？跳跃，继续向跳蚤弹跳，他们只要有能力就飞过！
TROUPE_MEMBER_TALL_REPEAT_GREYMOOR,Strange beasts prowl these grey lands. I hear them roar and shriek outside camp. Is best to stay inside and make quiet.,奇怪的野兽四处寻找这些灰色土地。我听到他们在营地外咆哮和尖叫。最好留在里面并安静。
FG_DODGE_CHOICE,Compete in Flea Dodge?,参加跳蚤道奇？
TROUPE_MEMBER_SHORT_MEET_FLEATOPIA,"At longest last, have our flea roamings ended! Every sandy grain and stinky squelchy maggot was worth to endure, to claim such a home!&lt;page&gt;Is time for rest and celebrate, and none have earned such more than you, Miss Hornet! Raise your flask and drink most heartily with us!",最后，让我们的跳蚤漫游结束了！每一个沙质谷物和臭臭味的马格特都值得忍受，声称这样的家！举起烧瓶，与我们一起喝酒！
