Key,EN,ZH
GOURMAND_SERVANT_REPEAT,"Leave us! My great master needs time to reflect, and I must ponder on flavours anew!",离开我们！我的伟大主人需要时间来反思，我必须重新思考风味！
COG_STATUE_ALL_TALK_B,"Pilgrim who would hold our song within your shell, rise above.&lt;page&gt;Offer your most devout self unto our sacred heart.",朝圣者将我们的歌曲在您的外壳中持续，抬高到＆lt; page＆gt;为我们的圣心提供您最虔诚的自我。
LIBRARY_STATUE_SPEAK_1,"...ilgrim!... ast aside those many sinful hopes for rest ...d reward... remain pure... within our midst... sk for nothing! &lt;page&gt;See... Citadel&#8217;s simple stone, bare an... dorned. See h...ain our garb, how sparse o... meal. Know that... excess is sin!&lt;page&gt;Stay vigil... ys, for tho... wretched pilgrims... dare relen... their base desi... Left unpunish... thin our pure chorus... eir seductive sin... pread like flame...",... ilgrim！＆lt; page＆gt;请参阅... Citadel＆＃8217;简单的石头，裸露的... Dorned。见h ...我们的服装，多么稀疏...饭。知道...多余的是罪！
SONG_KNIGHT_OUTRO_2,"Accept, a t-t-token of the sentinel&#8217;s order.&lt;page&gt;As friends... let us p-part.",接受哨兵的t-t-token。
LIBRARIAN_NO_RELICS_FULL,"&lt;hpage&gt;I would view your collection, Vaultkeeper.&lt;page&gt;She may see it. A perfect set. This Vaultkeeper is rich with insights. Jealous its fellows would be... If still their minds remained.",＆lt; hpage＆gt;我会查看您的收藏，保管员。完美的套装。这个金库人员拥有丰富的见解。嫉妒它的研究员将是……如果他们仍然留下的话。
GOURMAND_SERVANT_ITEM_GIVE_MEAT,"Aaaahh. What&#8217;s this? The rasher of a courier, tied up tight! I can see its fat still dripping fresh!",aaaahh。什么？快递员的拉什（Rasher）紧紧绑紧！我可以看到它的脂肪仍在滴水！
GOURMAND_SERVANT_ITEM_GIVE_STEW,"This stew, of Mossberries stirred thick. Good. Good! It shall form the base once set in mould.",炖薄片的炖汤搅拌了。好的。好的！它应在模具中设置后形成底座。
SLAB_PRISONER_REMEET,"Ahh... you have brought song again, though perhaps it is wasted on one as unworthy as I.&lt;hpage&gt;You needn&#8217;t satisfy my curiosity if it pains you sir, but I must ask, for what crime or sin did the Citadel imprison you?&lt;page&gt;My sin? A grave transgression, the cause of much pain for many. But to speak of a sin... is to invite its return. I will say no more.",啊...您再次带来了歌，尽管也许像I.严重的犯罪，这是许多人痛苦的原因。但是要说一种罪...是邀请它的回归。我不会再说了。
LIBRARIAN_RELIC_ASK_PROMPT,Give Psalm Cylinder?,给诗篇缸？
SONG_KNIGHT_OUTRO_1,"By the purity of your will... the c-c-clarity of your intent... you are innocent of the silken curse.&lt;page&gt;Failed, has this sentinel. Your j-judgement, will it accept.&lt;hpage&gt;Is this truly failure, gilded one? You meant to test me and have done so. I would expect nothing less of a true guardian.&lt;hpage&gt;The matter is resolved, there is no need for death. Stand, and let us part as friends.",根据您的意志的纯洁...您意图的C-C-clarity ...您是丝绸诅咒的无辜。您的J-Judgement，它会接受吗？您打算测试我并这样做。我期望的是一个真正的监护人。站起来，让我们分手成为朋友。
GOURMAND_SERVANT_ROACHEGG,"Seek out a Pickled Muckmaggot, the sacred treat revered and reviled for its intensity. It was a specialty of the chef Lugoli, long ago banished for culinary sacrilege.&lt;page&gt;Rumours sing that the great chef retreated to their home-caves in the dank midlands below...",寻找一个腌制的Muckmaggot，神圣的待遇因其强度而受到尊敬并受到谴责。很久以前，这是卢戈利厨师的特色菜，被驱逐出去烹饪。
GOURMAND_SERVANT_QUEST_COMPLETE_1,"&lt;hpage&gt;With this I have fulfilled my promise, sir. The ingredients have all been delivered. I trust now the meal can be made, and the oil awarded for my efforts?&lt;page&gt;You&#8217;ll have your oil, whelp! Firstly learn some patience! The dish must be prepared perfectly, enough to rouse my master and see them sated. &lt;page&gt;Now! Permit me to work my skill, and you&#8217;ll stand to see a meal of scent and taste that would dazzle Pharloom in her prime!",＆lt; hpage＆gt;先生，我履行了我的诺言。所有成分都已交付。我相信现在可以做饭，并为我的努力而授予的石油？首先学习一些耐心！这道菜必须完美地准备，足以唤起我的主人并看到他们的安排。＆lt; page＆gt;现在！请允许我发挥自己的技能，您＆＃8217; ll站着看到一顿气味和味道，这会使她在她的巅峰时期！
GOURMAND_SERVANT_MEET_ACT3,"Hrm? Oh, &#8216;tis merely the livid red bug. I was expecting some word from those above, to explain the meaning of all this rumbling and shaking.&lt;page&gt;They fail in their holy duties! My master must be shielded from such inconveniences, else their digestion be disrupted.&lt;hpage&gt;There are worse fates than indigestion, sir. You are fortunate to be unharmed.&lt;page&gt;Fortune has nothing to do with it. I am simply of a hardier breed than the insipid young servants of these recent, wretched times!",hrm？哦，＆＃8216;这仅仅是红色的虫子。我期待着上面的话，可以解释所有这些隆隆声和震动的含义。我的主人必须免受这种不便的影响，否则他们的消化被破坏了。您很幸运地不受伤害。我只是比这些近期悲惨的时代的平淡年轻仆人更坚强的品种！
LIBRARIAN_FIRST_RELIC_ASK_REPEAT,Rkkt! I know she has it. Keeps it. Carried coveted in her cloth. This one searched for it. Give it! Give it to us!,rkkt！我知道她有。保留它。用她的布带着梦vet着。这个搜索了它。给它！给我们！
LIBRARIAN_MELODY_PLAY_POST,"Divine music... The soul of Pharloom eternal laid bare... That our cursed age could still receive such blessing...&lt;page&gt;So, Weaver-spawn, our melody is yours now, held in mind to carry beyond our walls. Was the learning worth its thieving? &lt;hpage&gt;It was, Vaultkeeper. And know to me your service continues. Keep the cylinder safe, along with any others I may bring.",神圣的音乐...伪装永恒的灵魂裸露...我们被诅咒的年龄仍然可以得到如此祝福...学习值得盗贼吗？＆lt; hpage＆gt;它是保管员。并知道您的服务继续。与我可能携带的其他任何其他圆柱体保持安全。
LIBRARY_STATUE_SPEAK_REPEAT,"...Dear... grim... Dark it seems now... et these word... become your guide...&lt;page&gt;Hear our voice... Let it... your own! Give... of yourself... for great Pharloom, for... first-children who bequeath it to us... for our salva... sure to come!",...亲爱的...严峻...黑暗现在似乎现在... et这些词...成为您的向导...＆lt; page＆gt;听到我们的声音...让它...您自己！给自己...为了伟大的伪装，为...遗赠给我们的第一个孩子...为我们的萨尔瓦...一定要来！
GOURMAND_SERVANT_NECTAR,"For a sweet simmer, find me some Vintage Nectar. A rare brew, treasured by bugs with a keen scent for excellence.&lt;page&gt;There&#8217;s slim chance such an old yield might still exist. Alas! Its depth of flavour is a necessity for the holy dish!",对于甜蜜的小火煮，请给我一些老式的花蜜。一种罕见的啤酒，被虫子珍贵的巨大气味珍贵，卓越的气味。唉!它的味道是圣菜的必要条件！
LIBRARY_STATUE_WAKEUP,Hark! ...ilgrim! You... climb... our eternal embrace... who stand stru... the threshold... our stark Citadel of stone... kno... true service may now commence.&lt;page&gt;Forget... your weary shell. Forgo... urge to still... arloom commands... give... greatest gift! Join our chor... Raise... shell... voice... and sing!,哈克！... ilgrim！您...攀登...我们永恒的拥抱...谁站着...阈值...我们的Stark Citadel of Stone ... Kno ...真正的服务可能现在开始。放弃...敦促静止... arloom命令...给...最大的礼物！加入我们的Chor ...抬起...壳...声音...并唱歌！
GOURMAND_SERVANT_COURIERMEAT,"For the core of the meal, find that marvellous meat... The rasher of a courier, those spritely bugs who once arrived at the toll of every second bell.&lt;page&gt;I saw many a courier gorge upon this fatty snack. Where are they all? Have they abandoned their holy toil?",对于这顿饭的核心，找到了奇妙的肉...快递员的rasher，那些曾经到达每秒钟钟声的刺耳的虫子。他们都在哪里？他们放弃了圣工作吗？
GOURMAND_SERVANT_REPEAT_ACT3,"The master has a mighty endurance, yet all of this rumbling and breaking makes me fearful for their safety.&lt;page&gt;Fear not. I will stay by their side until my old shell crumbles away.",主人具有强大的耐力，但是所有这些隆隆的和破坏的事情都使我担心他们的安全。我会呆在他们身边，直到我的旧贝壳崩溃了。
BROOD_MOTHER_TINY_TALK,"Eggy, eggy, hee hee! I&#8217;ll eat a lot, grow big and fat. Then I&#8217;ll lay a lot of eggies!&lt;page&gt;They bring me plenty of food, so they must want plenty of eggies.&lt;page&gt;And plenty they shall have, if they&#8217;re nice to me! Hee hee!",eggy，eggy，hee hee！我会吃很多东西，变得大又胖。然后，我会产生很多鸡蛋！呵呵！
SONG_KNIGHT_INTRO_2,"&lt;hpage&gt;I had thought I was answering your summons as a friend, or at least an ally, but now that we stand together in this place I can sense your intent.&lt;hpage&gt;You mean to raise your blades against me. Am I your enemy, then?&lt;page&gt;D-defence of the sacred Citadel, and the voices that fill it-t-t, is the eternal duty of the sentinels.&lt;page&gt;Termination, is the n-n-necessary fate of all those enthralled by the whispering Silk.&lt;hpage&gt;You believe me haunted, a slave to the pale threads? I think you are more perceptive than that. My Silk is my own, as is my will.&lt;page&gt;Unsure, is this sentinel. B-both haunted and innocent, you seem. With regret, this sentinel must t-t-test the strength of your will.",＆lt; hpage＆gt;我以为我是在回答您作为朋友的传票，或者至少是盟友，但是现在我们站在这个地方，我可以感觉到您的意图。我是你的敌人吗？我认为您比这更具敏感性。我的丝绸是我自己的，就像我的意愿一样。B-both闹鬼而无辜。遗憾的是，这个哨兵必须t-t-t-test test您的意志力。
WARD_PIT_KEYHOLE_INSPECT,An ornate lock mechanism with a keyhole at its centre.,一个华丽的锁机构，其中心有一个钥匙孔。
GOURMAND_SERVANT_ITEM_GIVE_NECTAR,"The nectar! To think, such an aged extract still exists! What an exquisite tragedy that I cannot taste it myself. My master must have every drop!",花蜜！想一想，仍然存在这样的陈旧提取物！我自己无法品尝的精致悲剧。我的主人必须有每一滴！
LIBRARIAN_FIRST_RELIC_GOT,"Yes! Yes! She gives... It is ours! &lt;hpage&gt;I have passed the relic, Vaultkeeper. Now uphold your promise and aid me with your insight.&lt;page&gt;Fool! Demanding of a Vaultkeeper. Hers is impudence enough to bring death... If she did not carry the scent of Weaver-spawn.&lt;hpage&gt;So you know something of my ancestry, learned bug. If it gains me favour here, then I&#8217;ll expect your service in full.&lt;page&gt;Bleg! Dead! Dead, your vicious kind are meant to be. Better methinks to stay as such... &lt;page&gt;Gkkkt. But this one was taught. It shall fold its claws. It shall pass its knowledge, as much as is gleaned.&lt;page&gt;Only to a first child, must a Vaultkeeper defer.",是的！是的！她给...是我们的！＆lt; hpage＆gt;我已经通过了遗物保管员。现在，请坚持您的诺言，并通过您的见识为我提供帮助。要求保管员。她的无礼使死亡……如果她没有带有织布工的气味。如果在这里获得我的青睐，那么我会期望您的服务全额。死的！死了，你的恶毒本来应该是。更好地保持原样的方法...＆lt; page＆gt; gkkkt。但这是教导的。它应折叠爪。它应将其知识传递给只有第一个孩子，必须将其收集到。
TROBBIO_BOSS_MEET,"Oh drab and trembling squib, you who timidly step unto the Great Stage, fate has seen you chosen!&lt;page&gt;Cast away your fear and join me as my partner. Pharloom&#8217;s flame may flicker, but together we shall spark it ablaze!&lt;page&gt;Let us enliven this Citadel lost to silence! Let us rouse the soul of this once great land!",哦，单调和颤抖的庞然大物，你胆怯地踩到伟大的舞台，命运看到你选择了！伪装的火焰可能会闪烁，但我们将共同引发它！让我们唤起曾经伟大的土地的灵魂！
