Key,EN,ZH
PINSTRESS_INTERIOR_GROUND_POST,How grand! To face an opponent with a bit of energy.&lt;page&gt;You&#8217;re a skilled one clear enough. I hope my training has granted some insight.,多么宏伟！面对一个能量的对手。我希望我的培训能够有所了解。
PINSTRESS_INTERIOR_GROUND_MEET,"So rude! To raise a Pinstress from their deep meditation!&lt;page&gt;You carry on with that kind of brash behaviour and you&#8217;re likely to be stuck quick through!&lt;hpage&gt;I&#8217;m surprised to find a bug of sound mind alive in such an inhospitable place. You are a warrior learned in the blades of this land?&lt;page&gt;Aye! A Pinstress! Your needle there might fit you fair, strange as it is&#8217;n all, but it&#8217;s the pin that&#8217;s the glorious weapon of Pharloom.&lt;page&gt;Given I&#8217;m now awake, maybe you&#8217;d fancy a little training? Care to test the power of a Pinstress? Might be even this old master could show you a thing or two.",如此粗鲁！要从他们的深冥想中抚养一个贴子！您是在这片土地的叶片中学到的战士吗？一个钳子！您的针头可能适合您，因为它是所有的，但它是所有的，但是它是Pharloom的光荣武器。愿意测试钳子的力量吗？甚至可能是这个老主人都可以向您展示一两件事。
PINSTRESS_INTERIOR_GROUND_TALK_ACT_3,"It&#8217;s a right long time since I&#8217;ve felt so vigorous. All those dulled pilgrims were useless for testing my talents.&lt;hpage&gt;Your blade proved an impressive challenge, Pinstress. I&#8217;ve travelled the length of this kingdom, yet the strength and skills hidden throughout continue to surprise me.&lt;page&gt;You bear your own strange strengths, needle bug. If only we&#8217;d met in less troubled times, just think of all we could have learned from one another!",自I＆＃8217; ve感到如此兴奋以来，这很长时间了。所有这些沉闷的朝圣者对我的才华毫无用处。我在这个王国的长度上旅行了，但是整个王国的力量和技能仍然使我感到惊讶。如果我们只在麻烦的时期遇到的时刻，只要想一想我们可以彼此学到的一切！
PINSTRESS_INTERIOR_GROUND_ACCEPTED,"Bold choice, needle bug. Let&#8217;s get our shells a&#8217;shaking!",大胆的选择，针头虫。让我们摇晃我们的外壳！
PINSTRESS_INTERIOR_GROUND_PROMPT,Train with Pinstress?,与金属钉训练？
WORLD_EDGE,"&lt;hpage&gt;These sands mark the edge of Pharloom&#8217;s territory. I was brought to this land through the caverns beyond.&lt;hpage&gt;Something at this kingdom&#8217;s height still hungers for me. Were I to flee now, I would again be pursued.&lt;hpage&gt;Until I find the source of that hunger, and slay it, I will not be free.",＆lt; hpage＆gt;这些沙子标志着伪装领土的边缘。我被带到了这个王国的洞穴中，带到了这片土地上。如果我现在逃离，我将再次被追捕。
PINSTRESS_NPC_TALK_01,PINSTRESS_NPC_TALK_01,pinstress_npc_talk_01
PINSTRESS_INTERIOR_STAND_MEET,"Back again, needle bug? Surely you&#8217;ve more important places calling than these sandy steps?&lt;hpage&gt;I shan&#8217;t stay long, Pinstress. Your home and your skills offer a sense of safety rare about these lands.",又回来了，针头虫？当然，您比这些沙质步骤更重要的地方要呼唤？您的房屋和技能为这些土地提供了罕见的安全感。
STEEL_SENTINEL_QUEST_REPEAT,Find the vassal... pale It. Return them to us... Save us both from the Masters&#8217; wrath.,找到附庸...苍白。将它们退还给我们...从大师手中拯救我们＆＃8217;愤怒。
PINSTRESS_FINAL_MEET_RETURN,"Needle bug! With those black quakes, Pharloom&#8217;s finale is fast arriving.&lt;page&gt;Raise your blade! Let&#8217;s see at least one of us end true to our nature!",针虫！有了那些黑色地震，pharloom的结局快到了。让我们见到我们中的至少一个忠于我们的本性！
