Key,EN,ZH
BLUE_SCIENTIST_OFFER,"Oho? You linger here still? Perhaps, like myself, you have been bewitched by the Plasmium&#8217;s beautiful glow?&lt;page&gt;Then join me, you must! A new assistant is needed. Together we shall unlock the secrets of this wondrous substance!",哦？你还在这里吗？也许像我一样，您对质膜的美丽发光感到困惑？需要一个新的助手。我们将一起解锁这种奇妙物质的秘密！
BLUE_SCIENTIST_REFILL_ACCEPT,"There, you are replete with wonderful Plasmium once more! You can begin injecting it at once. Now, off with you!",在那里，您再次充满了质质质子的精美！您可以立即开始注入它。现在，和你一起！
BS_SIT_QUEST1_REOFFER,"Assistant... You will help, yes? The buds have ripened... The Plasmium harvest can begin...",助手...您会帮忙吗？芽已经成熟...浆收成可以开始...
BS_SIT_QUEST2_REFUSE,Leave your fear behind... Cast it off like an old shell. Give me what I need...,将您的恐惧留在后面...像旧的外壳一样将其抛弃。给我我需要的...
BS_SIT_QUEST1_REPEAT,Bring the Pure Plasmium. It must be tested... ingested.&lt;page&gt;Ready the Needle Phial to full charge... Strike deep the ripened buds. Return that precious liquid life to me... Assistant.,带上纯质质子。必须对其进行测试...摄入。将宝贵的液体生命归还给我...助理。
BLUE_SCIENTIST_ACCEPT,"Excellent! With two bugs at the task, the rate of discovery shall greatly increase!&lt;page&gt;Now! Before he up and vanished, my previous assistant seeded the warrens below with Plasmium buds.&lt;page&gt;The buds should be ripening as we speak and the nectar within must be extracted before they reach maturity.&lt;page&gt;With the right tool in claw, collecting the nectar is an easy process. I&#8217;ll even lend you my own Needle Phial for the job.&lt;page&gt;Once you locate a bud, simply charge the Phial until readied, then release its needle into a bud&#8217;s core. Do it right, and it&#8217;ll suck out the nectar in one clean pop!&lt;page&gt;Return them to me when you&#8217;ve retrieved the necessary samples. With the right nectar, and the right testing, Plasmium can reveal even more of its wondrous properties!",出色的！有两个错误的任务，发现速度将大大提高！＆lt; page＆gt;现在！在他抬起并消失之前，我以前的助手在下面的沃伦斯（Warrens）播种了质子芽。我甚至将您自己的针phial借给您。做对了，然后它会在一个干净的流行音乐中吸取花蜜！有了正确的花蜜和正确的测试，浆可能会揭示更多其奇妙的特性！
BS_SIT_QUEST2_CANCOMPLETE,"Assistant, that odour... aahhh.... you have the Plasmified Blood...",助理，那种气味... aahhh ....你有质量的血...
BLUE_SCIENTIST_REPEAT,"Keep using the Plasmium Phial, and enjoy all the wonderful effects it has on your body. Once your Plasmium reserve runs dry, visit me again.&lt;page&gt;I&#8217;ll charge a few rosaries for refills, but you can be confident that every bead goes towards our vital studies!",继续使用质膜纤维，并享受它对您身体产生的所有奇妙效果。一旦您的浆液储备干燥，请再次拜访我。
BS_SIT_REFILL_REFUSE,"Do you fear the Plasmium, even now? Ahhh... Assistant... open your mind to the possibilities...",您是否害怕浆液？啊...助手...敞开心home对可能性...
BS_SIT_REPEAT,Assistant... What we might become... together.,助手...我们可能会成为……在一起。
BS_SIT_QUEST1_ACCEPT,Ahhhh. Yes... Assistant. So loyal... Take the Needle Phial... find the buds below. They are ripe...&lt;page&gt;Charge the Phial to full strength... Pierce them deep... Extract that Pure Plasmium.&lt;page&gt;This shell shall become what you need it to be... Plasmium can cure all.,啊。是的...助手。如此忠诚...带针phial ...找到下面的芽。它们已经成熟了...＆lt; page＆gt; page＆gt;充分充分的力量...将它们深深地刺穿...提取纯质子。
BLUE_SCIENTIST_QUEST_REPEAT,"Assistant! You&#8217;re still dallying about here? I&#8217;ve an eager need for pure Plasmium, fresh from the bud.&lt;page&gt;Just one fully charged stab of my Needle Phial straight into a ripe bud! You&#8217;ll suck the Plasmium right up!&lt;page&gt;Now, pop down into those worm warrens and extract it for me! What could possibly be more important?",助手！您仍然在这里呆在这里吗？我渴望需要纯净的质子质，从芽中新鲜。您会直接吸收质子质！有什么可能更重要的？
BLUE_SCIENTIST_OFFER_ZANGO,"&lt;hpage&gt;I am curious about the equipment you have here, and the blue liquid contained within. What study consumes you?&lt;page&gt;Ahh yes! So this miraculous substance intrigues you too! A wonder beyond wonders, miracle made material!&lt;page&gt;Plasmium! A naturally occuring elixir with no equal! It heals wounds and strengthens shells! I suspect it can even defy death itself!&lt;hpage&gt;Plasmium, you call it? I have encountered its like before, or else a substance of remarkable similarity...&lt;page&gt;Highly unlikely! The grey and barren soil of the mainland could never produce something as singular as this, and that is undisputable fact!&lt;page&gt;Plasmium was discovered by my master at the farthest edge of Pharloom, hidden deep in salt-stricken waters. I brought it to these caves under her direction, to study how it flourishes in a foreign place.&lt;page&gt;Perhaps, like myself, you have been bewitched by the Plasmium&#8217;s beautiful glow? Would you assent then, to assisting me in my studies?",＆lt; hpage＆gt;我对您这里的设备以及其中包含的蓝色液体感到好奇。什么研究消耗了您？因此，这种奇迹的物质也吸引了您！超越奇迹，奇迹制作了材料！＆lt; page＆gt;浆质！自然发生长生不老药，没有平等！它可以治愈伤口并增强壳！我怀疑它甚至可以无视死亡本身！我遇到了以前遇到的，否则是一种显着相似之处的实质...大陆的灰色和贫瘠的土壤永远无法产生如此单数的东西，这是无可争议的事实！我把它带到了她的指导下，研究了它是如何在外国的地方繁荣的。那您会同意，协助我学习吗？
BLUE_SCIENTIST_REOFFER,"Plasmium is a marvel of nature! And a new assistant is sorely needed. Together, let us unlock its secrets!",浆质是自然的奇迹！非常需要一个新助手。一起，让我们解锁它的秘密！
BLUE_SCIENTIST_MEET_ZANGO,"Oho? A new face! Not here to bother, I hope? I&#8217;ve critical studies underway in these twisting tunnels and can afford no distractions!&lt;page&gt;You haven&#8217;t met Zango, my assistant, by chance? An indolent sort? Short, slovenly, rather unreliable-seeming?&lt;hpage&gt;In a dark cave below here, I encountered a shell not dissimilar from your own. I suspect your assistant may have met an unfortunate end.&lt;page&gt;Ah ha! That careless buffoon. No surprises then. That lump never shone with the talent for true discovery.&lt;page&gt;Now! To my work I must return! With my assistant so rudely dying on me I&#8217;ve tasks enough for two bugs.&lt;page&gt;Unless you have further interest in my precious Plasmium, kindly leave me in peace!",哦？一张新脸！我希望在这里打扰吗？我在这些扭曲的隧道中正在进行重要的研究，无法分心！一种懒惰的人？简而言之，懒散的，相当不可靠的？我怀疑您的助手可能遇到了一个不幸的结局。那粗心的丑角。那不足为奇。那个团块永远不会从真正发现的才能中发挥作用。我的工作必须回来！我的助手如此粗鲁地死于我，我的任务足以容纳两个错误。
BLUE_SCIENTIST_REFILL_REFUSE,"Oh? Those who hesitate learn nothing, you know! The wondrous bright glow of Plasmium makes all things clear!",哦？那些犹豫什么也没学的人，你知道！质子的奇妙亮光使万物清晰！
LIFEBLOOD_GLAND_MSG,Plasmium Gland,浆腺
BS_SIT_QUEST2_OFFER,Assistant... to learn more of Plasmium&#8217;s wonders... I know what we must do... &lt;page&gt;The bugs below... who have imbibed the substance... and evolved... their bodies are full with Plasmified Blood...&lt;page&gt;You must use the Needle Phial and extract this precious nectar... only by scrutinising it... can we attain higher knowledge...,助手...要了解更多的质质＆＃8217; s的奇迹...我知道我们必须做什么...
BS_SIT_QUEST1_COMPLETE_1,"&lt;hpage&gt;I have retrieved the Pure Plasmium, as requested. Know that, in your current state, I feel some reservation passing it to you.&lt;hpage&gt;This path your research takes... The final result may not be pleasant.&lt;page&gt;Pure Plasmium? No... Assistant... You must not doubt... It is precious. Perfect. It was needed... You have done well. As always...",＆lt; hpage＆gt;我根据要求检索了纯质质子。知道，在您目前的状态下，我感到有些保留将其传递给您。不...助手...您一定毫不怀疑...这很宝贵。完美的。这是需要的...您做得很好。一如既往...
BS_SIT_QUEST2_OFFER_PRE,"These lands have taken the Plasmium well... the soil has drunk it deep, and the creatures bloom so beautifully... have you seen them?&lt;hpage&gt;The effect of your Plasmium on the beasts here is all too evident. Great change has been inflicted upon them.&lt;hpage&gt;There is an echo also of other infections I have witnessed. I wonder at the meaning of it all... or if I am perhaps imagining similarities where there are none.&lt;page&gt;Assistant, ahhh... you grow more inquisitive... We both seek deeper insight...&lt;page&gt;Could we... peer deeper inside somehow...? Let us think on it...",这些土地很好地接受了质子质...土壤醉了，生物盛开了，如此美丽……您看到它们了吗？我已经对他们产生了巨大变化。我想知道这一切的含义...或者如果我可能想像没有的相似之处。让我们考虑一下...
BS_SIT_QUEST1_REFUSE,Ahhhh... Assistant.... greed was ever your greatest failing. Do not guard your discoveries so jealously...,啊...助手....贪婪是你最大的失败。不要如此嫉妒的发现...
BS_SIT_REPEAT_DONE,For you... dear assistant... drink deep my liquid life...,给你...亲爱的助手...喝我的液体生活...
