Key,EN,ZH
CREDITS_CHARVOICE_HORNET,Hornet,大黄蜂
CREDITS_KNIGHTS_OF_U_SUPPORT_NAME_L,Kamil Kloc&lt;br&gt;Jan Mróz,kamil kloc＆lt; br＆gt;janmóz
CREDITS_TEST_QA,Testing &amp; QA,测试＆amp;质量检查
CREDITS_TESTERS_NAMES_L,Ditte Wad Andersen&lt;br&gt;Matthew Griffin&lt;br&gt;Sam Griffin&lt;br&gt;Daniel James Freer&lt;br&gt;Matthew Trobbiani&lt;br&gt;Peter Yong,Ditte Wad Andersen＆lt; Br＆gt; Matthew Griffin＆lt; br＆gt; sam Griffin＆lt; br＆gt; daniel james freer＆lt; br＆gr＆gt; matthew trobbiani＆br br br
CREDITS_ENVIRONDRESSING,Additional Environment Dressing,其他环境敷料
CREDITS_MUSIC_STRINGS,Strings,字符串
CREDITS_MUSIC_PROD_SUB,Production,生产
PERMA_GAME_OVER,GAME OVER,游戏结束
CREDITS_CHARVOICE_TROBBIO_AND,and,和
CREDITS_MUSIC_EDITING_NAME,Hew Wagner,Hew Wagner
CREDITS_USS_BPORTUGUESE_TITLE,Brazilian Portuguese,巴西葡萄牙
CREDITS_USS_ITALIAN_TITLE,Italian,意大利人
CREDITS_THANKS_MUSIC,Special Thanks Music &amp; Sound,特别感谢音乐＆amp;声音
CREDITS_MUSIC_WIND_BRASS,Wind &amp; Brass,风黄铜
CREDITS_TRANSLATE_CHINESE_NAME,Finn Wu 吴华锋&lt;br&gt;Hertzz Liu 刘辉洲,finnwu吴华锋＆lt; br＆gt; hertzz liu刘辉洲
CREDITS_ORCHESTRA_TYPESET_NAME,Nathan Cummins,内森·康明斯
CREDITS_ENVIRONDRESSING_NAME,Tyler Bartley&lt;br&gt;Nathan Elmer&lt;br&gt;James Ross Mcnabb&lt;br&gt;,泰勒·巴特利（Tyler Bartley）
CREDITS_KNIGHTS_OF_U_SUPPORT_NAME_R,Jakub Augustyniak&lt;br&gt;Karol Fornalczyk,Jakub Augustyniak＆lt; br＆gt; karol fornalczyk
CREDITS_USS_ITALIAN_NAME,Laura Innocenti&lt;br&gt;Oliver Cozzio,Laura Innocenti＆lt; br＆gt; Oliver Cozzio
CREDITS_CONGRATS_BODY_PERMA,You played masterfully and proved you have a Steel Soul.&lt;br&gt;Thank you for taking the time to explore and conquer the world of&lt;br&gt;Hollow Knight: Silksong.&lt;br&gt;We&#8217;ll meet again with a new challenge for you...,您巧妙地打球并证明自己有一个钢铁灵魂。
CREDITS_MUSIC_SINGERS_ADDITIONAL_NAME_R,James Scott&lt;br&gt;Courtney Turner&lt;br&gt;Gerry Masi&lt;br&gt;Hew Wagner&lt;br&gt;Brooke Window,詹姆斯·斯科特（James Scott＆lt;
CREDITS_ORCHESTRA_TYPESET,Orchestration &amp; Typesetting,管弦乐队＆amp;排版
