Key,EN,ZH
LACE_NEEDOLIN_PLAYED,Oh spider dear! The way you pluck and pound at that crude instrument! What tragedy!&lt;page&gt;(etc.),哦，亲爱的蜘蛛！您摘下并在那个粗糙乐器上敲打的方式！什么悲剧！＆lt; page＆gt;（等）
QUEST_CORAL_TITLE,Coral Curative,珊瑚治疗剂
PILGRIM_STOMPER_QUEST_ACCEPTED_WISHWALL,"&lt;hpage&gt;I saw your request upon Bone Bottom&#8217;s wishwall, sir, and have accepted. This is an unusual task... but I am well able to assist.",＆lt; hpage＆gt;我在骨骼底部看到了您的要求，先生，已经接受了。这是一项不寻常的任务...但是我能够提供帮助。
PILGRIM_STOMPER_QUEST_MEET_2_ACT3,"Death... or something worse, perhaps?&lt;page&gt;It matters not. I have sworn a holy oath, to halt my pilgrimage here until I can understand this affliction. And perhaps through understanding... resist it.",死亡...或更糟糕的事情，也许是？我宣誓就职，在这里停止朝圣，直到我能理解这种痛苦为止。也许是通过理解...抵抗它。
QUEST_CORAL_INV_DESC,Hunt coral-shelled creatures and collect Coral Crust from their bodies.,狩猎珊瑚壳生物，并从他们的身体中收集珊瑚壳。
BLUE_SCIENTIST_QUEST2_REPEAT,"I&#8217;m eager for the mossblood, assistant. While research needs doing, one must never slack.&lt;hpage&gt;If time permits, Sir, I shall acquire your samples for you.",我渴望Mossblood，助理。虽然研究需要做，但永远不要松懈。
PILGRIM_STOMPER_QUEST_ACCEPT,"Ahh! At last, one as curious as myself! Hurry then! Hunt down lost, wandering pilgrims and wrench the organs from within their shells!&lt;page&gt;Together, we will come to understand. We will learn what haunts the pilgrims...",啊！最后，一个像我自己一样好奇！快点！狩猎迷路，徘徊朝圣者，并从他们的贝壳中扳动器官！我们将了解朝圣者的困扰...
QUEST_CORAL_WALL_DESC,"Our medicines are in short supply and pilgrims often arrive here injured. We can prepare a soothing salve from the ground shells of coral creatures, if we only had some...",Our medicines are in short supply and pilgrims often arrive here injured.如果我们只有一些...
PILGRIM_STOMPER_QUEST_MEET_2,"Hm. Something is haunting the steps of we pilgrims. Tugging at the fringes of our minds, pulling us deep into madness. Leaving nothing but a babbling, grovelling shell.&lt;page&gt;I have halted my own pilgrimage until I can understand this affliction. I won&#8217;t allow myself to be overcome, to have my sacred journey end in such a pathetic fashion!","嗯。Something is haunting the steps of we pilgrims.Tugging at the fringes of our minds, pulling us deep into madness.Leaving nothing but a babbling, grovelling shell.&lt;page&gt;I have halted my own pilgrimage until I can understand this affliction.I won&#8217;t allow myself to be overcome, to have my sacred journey end in such a pathetic fashion!"
BS_SIT_QUEST3_REOFFER,"Assistant? Would you still do it? For me? For us? Still... assist? The blood, we need more, further... to understand.","助手？Would you still do it?为我？For us?Still... assist?The blood, we need more, further... to understand."
CARAVAN_SPIDER_BELLHART_ARRIVE,"We&#8217;ve arrived, small spider. Bellhart waits just through that tunnel. From this distance at least it seems safe enough?&lt;page&gt;Perhaps the rumours of its danger were overstated? If you&#8217;re needing travel here again, I&#8217;m inclined to offer a more reasonable rate.&lt;hpage&gt;Thank you for your service, Sir. It may seem safe from here, but I shall keep my guard up nonetheless.",
TUNING_FORK_INSPECT,A Weaver tuning mechanism.,织布工调整机制。
BLUE_SCIENTIST_QUEST2_DECLINE,"These are crucial studies, assistant! Plasmium&#8217;s nature demands understanding.&lt;page&gt;If that doesn&#8217;t motivate you, then I worry your mind has dulled.",这些是至关重要的研究，助理！浆质的性质要求理解。
