Key,EN,ZH
TRADERS_QUEST_OFFER,"&lt;hpage&gt;The roaches outside, why are they kept in pens? They seem a dangerous creature to cage or tame.&lt;page=S&gt;Us moorbugs gotta eat, don&#8217;t we? They&#8217;re wild fast breeders, them Muckroaches. Hard shells and tough meat, if you can even crack &#8216;em open, but options ain&#8217;t plentiful so we ain&#8217;t choosy.&lt;page=S&gt;Ain&#8217;t so bad to eat, once you&#8217;re used to it. The guts is the best bit, but them&#8217;s a choice cut and we ain&#8217;t had it for ages now.&lt;page=L&gt;Har har, life is tough all right! Benj&#8217;n here&#8217;s wasting away before us, poor wretch!&lt;page=L&gt;Tugs at your emotions, eh missy? How &#8216;bout you put that poker to good use? Go poach some of them roaches and get us some tasty guts. There&#8217;d be fair trade waitin&#8217; for you.",＆lt; hpage＆gt;外面的蟑螂，为什么要保留在笔中？它们似乎是笼子或驯服的危险生物。他们是野生的快速育种者，他们是糟糕的。坚硬的贝壳和坚硬的肉，如果您甚至可以打开裂缝，但是可以选择ain＆＃8217; t ain ain＆＃8217; t chosy。胆量是最好的一点，但是它们是一个选择，我们已经有了很长的时间。Benj＆＃8217; n在这里浪费在我们面前，可怜的wretch！您如何充分利用扑克？去偷猎其中一些蟑螂，给我们一些美味的胆量。那里是公平贸易waitin＆＃8217;为你。
GRUBFARMER_DELIVERY,"&lt;hpage&gt;Sir, I have brought a Queen&#8217;s Egg, at request of Bellhart&#8217;s couriers. It was a hazardous journey but the creature inside has made it here alive.&lt;page&gt;Sssssss! How sss-ssublime! To think that my dear misss-stress would be the one to deliver the preciousss package! I had feared for the competence of those feeble couriersss...&lt;hpage&gt;It surprises me to know you correspond with them. I must wonder where else you go and who else you speak to after you scurry back up into the darkness...&lt;page&gt;Ssss. My whispersss-ss travel far, misstressss. You need not worry yourssself with my comingsss and goingss-ss. All I do... is in your sssss-service.&lt;page&gt;And now, pleasssse... give her to me... the little queen!",＆lt; hpage＆gt;先生，我应贝哈特（Bellhart）的快递员的要求带来了一个女王的鸡蛋。这是一次危险的旅程，但是里面的生物使它在这里活着。SSSSSUBLIME如何！认为我亲爱的小姐的压力将是交付珍贵包装的人！我担心那些虚弱的快递员的能力...＆lt; hpage＆gt;知道您与他们相对应，这让我感到惊讶。我必须想知道您还去哪里，以及在您匆匆陷入黑暗之后，您还会和谁说话……＆lt; page＆gt; ssss。我的窃窃私语SSS走得更远，情妇。您不必担心自己的comingss和goingss-ss。我所做的...在您的SSSSS服务中。
TRADERS_TALK_GENERIC_2,"&lt;hpage&gt;The beasts outside and their masters alike are all ensnared by this land&#8217;s silken affliction.You are lucky bugs to have not succumbed.&lt;page=L&gt;The Haunting? Oh, we&#8217;s got that all worked out. Benj&#8217;n and me are a right pair of philosophers when we bend our minds to it.&lt;page=L&gt;It&#8217;s faith that gets you. It&#8217;s all caused by being too devout!&lt;page=S&gt;Yeah! Or maybe not bein&#8217; devout enough!&lt;page=L&gt;Or maybe it&#8217;s safest not to think about it at all. Har har!",＆lt; hpage＆gt;外面的野兽及其大师都被这片土地所困扰。哦，我们已经解决了所有问题。当我们对它弯腰时，我和我是一对正确的哲学家。这一切都是由太虔诚而引起的！＆lt; page = s＆gt;是的！或者也许不是Bein＆＃8217;足够虔诚！哈哈！
GRUBFARMER_GROWING_ACT3,"While you sss-stalk through the black-ravaged world, morsss-ssels will I grow. For the promiss-sse of what my misss-tress will become... I will toil, alwayssss...",当您在黑色卫生的世界中进行SSS茎时，我会成长的Morsss-Ssels。因为我的小姐效果会变成什么...我会辛苦劳作，永远努力...
TRADERS_TALK_GENERIC_1,"&lt;page=S&gt;It&#8217;s said the moors used to grow a bounty of fresh food, way back befores that Citadel set us about catchin&#8217; their fallin&#8217; thread.&lt;page=S&gt;Sounds right lovely, eh missy? Always eatin&#8217;, never troubled by no grumblin&#8217; belly?&lt;page=L&gt;Har har! Yer like a hatchling, Benj&#8217;n! So given to fancies! &lt;page=L&gt;Now breedin&#8217; roaches is what keeps us from starvin&#8217;. Dangerous work, and not the finest diet, but we ain&#8217;t complainin&#8217;.&lt;page=L&gt;Specially as more and more of them keepers are succumbing to the strange sickness. Only means more meat for us. Har!",＆lt; page = s＆gt; it＆＃8217;说，摩尔人过去曾种植新鲜食物的摩尔人，这是返回的途径，这使我们对Cithin of Catchin＆＃8217;他们的堕落＆＃8217;线程。总是吃＆＃8217；肚皮？＆lt; page = l＆gt; har har！你喜欢孵化，benj＆＃8217; n！所以给了幻想！＆lt; page = l＆gt;现在breedin＆＃8217;蟑螂使我们脱离了Starvin＆＃8217;。危险的工作，而不是最好的饮食，但我们会抱怨＆＃8217;。只为我们意味着更多的肉。！！
TRADERS_TALK_REPEAT,"&lt;page=L&gt;We&#8217;re all fine here, miss. Content, like. P&#8217;raps it were time you made your way, eh?&lt;page=S&gt;Yeah, be on your way! And, erm, thanks for yer help there.",＆lt; page = l＆gt;我们在这里都很好，小姐。内容，喜欢。p＆＃8217; RAPS是时候该走了，是的，是吗？而且，嗯，感谢您在那里的帮助。
TRADERS_PINS_PROMPT,Buy Steel Spines?,购买钢刺？
GRUBFARMER_POPPED,"Sssss. Your hunger betrayssss-ss you, misstress. The morsel was not yet grown, but let it anger you not. I will grow you another... for I am your sss-ssslave.",SSSS。你的饥饿背叛了你，你的死者。杂物还没有长大，但不要让它生气。我会长一个...因为我是您的SSS-SSSLAVE。
GRUBFARMER_MEET_3_ACT3,"Ssss! You have come to claim me, and I am yourssss. I am your humble sss-ssslave!&lt;hpage&gt;I&#8217;ve no interest in mastery over you, sir. If my cutting down of those black masses aided you, it was merely by chance. Farewell.&lt;page&gt;Farewell...? No... the sss-strong claim the weak, and the weak must sss-ssserve! I am yoursss, my mistress, and you muss-sst protect me!&lt;page&gt;Sss-ssee what I have built here! Prepared, for the coming of my mistressss. My powerful missssss-tress!&lt;page&gt;While you are away hunting, I will grow you... ssss-something good. But the work takesss time. Return to me sssss-soon, and you may have what I grow...",SSSS！你来要求我，我是你的。我是您谦虚的SSS-SSSLAVE！如果我削减那些黑人群众有助于您，那只是偶然的。告别。不... SSS-Strong声称弱者，而弱者必须SSS-SSSEVER！我是你的情妇，你是你的情妇，你会保护我！为我的情妇的到来做好准备。我强大的Missssss-surs！但是工作时间。返回我SSSS-SOON，您可能会拥有我的成长...
TRADERS_TALK_REFUSE_GIVE,"&lt;page=S&gt;Wh... why the delay? You keepin&#8217; them guts for yourself? Here Crull, she&#8217;s goin&#8217; back on her promise!&lt;page=L&gt;Har. Promises is easily broken. But then, so&#8217;s a lot of other things. How &#8216;bout you reconsider yer greed there, missy?",＆lt; page = s＆gt; wh ...为什么要延迟？您饲养＆＃8217;他们为自己胆小吗？在这里，她的Goin＆＃8217;回到她的诺言！＆lt; page = l＆gt; har。承诺很容易折断。但是，那么，其他许多事情。您如何重新考虑您在那里的贪婪，Missy？
TRADERS_PINS_DECLINE,"&lt;page=S&gt;Oi! You ain&#8217;t got the beads? Or you just not wantin&#8217; to part with &#8216;em? &lt;page=L&gt;Hardly the time to be a miser, missy. You&#8217;re gonna be livin&#8217; sick till you buy these spines from us.",＆lt; page = s＆gt; oi！你有珠子吗？或者您只是不想要＆＃8217;与＆＃8216; em分开？＆lt; page = l＆gt;几乎没有时间成为苦难，米西。您将成为Livin＆＃8217;生病，直到您从我们那里购买这些刺为止。
GRUBFARMER_MEET_3,"Ssss! You have come to claim me, and I am yourssss. I am your humble sss-ssslave!&lt;hpage&gt;I&#8217;ve no interest in mastery over you, sir. If my slaying of these creatures aided you, it was merely by chance. Farewell.&lt;page&gt;Farewell...? No... the sss-strong claim the weak, and the weak must sss-ssserve! I am yoursss, my mistress, and you muss-sst protect me!&lt;page&gt;Sss-ssee what I have built here! Prepared, for the coming of my mistressss. My powerful missssss-tress!&lt;page&gt;While you are away hunting, I will grow you... ssss-something good. But the work takesss time. Return to me sssss-soon, and you may have what I grow...",SSSS！你来要求我，我是你的。我是您谦虚的SSS-SSSLAVE！如果我对这些生物的杀害有助于您，那只是偶然的。告别。不... SSS-Strong声称弱者，而弱者必须SSS-SSSEVER！我是你的情妇，你是你的情妇，你会保护我！为我的情妇的到来做好准备。我强大的Missssss-surs！但是工作时间。返回我SSSS-SOON，您可能会拥有我的成长...
PRINCE_CELL_INSPECT,A cage with a simple lock.,一个简单锁的笼子。
GRUBFARMER_MEET_1,Sssss! I saw you. I sssss-saw what you did!,SSSS！我看见你。我ssss-saw你做了什么！
GRUBFARM_MIMIC_REMEET_PRE,&lt;hpage&gt;I would speak again. Show yourself.,＆lt; hpage＆gt;我会再次讲话。展示自己。
TRADERS_PINS_OFFER,"&lt;hpage&gt;Good bugs, I am here on request of the doctor Yarnaby. She requires spines forged of steel, for a crucial operation.&lt;page=L&gt;Argh! Look at &#8216;er, Benj&#8217;n. She&#8217;s all sick like! Coiled up tight with somethin&#8217; weird. I reckon that operation&#8217;s for her herself!&lt;page=S&gt;She&#8217;s a sad sight for sure Crull, but sick or not our scrap&#8217;s hard-found. If she&#8217;s wantin&#8217;, we&#8217;s gotta be gettin&#8217; paid!&lt;page=L&gt;Ah! &#8216;Fraid the little one speaks true, missy. You might be ailin&#8217; but we can&#8217;t be offerin&#8217; charity. &lt;page=L&gt;We&#8217;re stockin&#8217; the spines you need. You just gotta be ready to part with some beads!",＆lt; hpage＆gt;好虫子，我在这里应Yarnaby医生的要求。她需要锻造钢的刺，以进行至关重要的操作。查看＆＃8216; er，benj＆＃8217; n。她都喜欢她！用Somethin紧紧地盘绕＆＃8217;诡异的。我认为这是她自己的操作！如果她想要＆＃8217;我们一定要gettin＆＃8217;付款！＆lt; page = l＆gt;啊！＆＃8216; fraid the Little One说得真实，Missy。您可能是Ailin＆＃8217;但是我们可以提供＆＃8217;慈善。＆lt; page = l＆gt; we＆＃8217; re stockin＆＃8217;您需要的刺。您只好准备与一些珠子分开！
GRUBFARMER_MEET_2,"Strong you are, misstress! Sss-ssmall, but so so deadly. And your ssscent! Well-aged!",坚强，你是想象的！SSS-SSMALL，但如此致命。和你的sscent！悠久！
PRINCE_CELL_REPEAT,"Leave it, bug. I accept my place.&lt;hpage&gt;Very well, prisoner.",留下来，错误。我接受我的位置。
GRUBFARMER_NEEDOLIN,"Sssss! Such sssss-sounds, plucked from the air and caught in your Silk! A marvel, my misss-stress...&lt;hpage&gt;It is a skill that any can learn. You could master this sound yourself, if you cared to.&lt;page&gt;No... a slave must grow morsels for his mistresssss. But the sssound... is so ssssss-soothing...",SSSS！这样的SSSS声音，从空气中拔出并抓住您的丝绸！一个奇迹，我的错过的压力...＆lt; hpage＆gt;这是任何人都可以学习的技能。如果您关心的话，您可以自己掌握这种声音。但是sssound ...是如此的sssssssing ...
GRUBFARMER_DELIVERY_POST_SETUP,"It is done. Our nessst is larger, and the little queen beginssss her toil. &lt;page&gt;More morsss-ssels can I grow for you now! Are you pleasss-sed with me, my missstress-ss?&lt;hpage&gt;You are diligent at your work, and have raised no claw against me. If it remains so, I will have no reason to be displeased.&lt;page&gt;Ssss! Then my work will continue! For I am ever your devoted sss-ssslave!",完成了。我们的Nessst更大，小皇后开始了她的辛劳。＆lt; page＆gt;现在我可以为您而成长！您是在我的小姐身上与我联系吗？如果仍然如此，我将没有理由不满意。那我的工作将继续！因为我曾经是您虔诚的SSS-SSSSLAVE！
GRUBFARMER_OPENED1,"Ssss! Mistress, is the morsss-sssel I grew worthy? You must conss-sume... conssss-sume and become sss-stronger.&lt;page&gt;Thissss is how I will sss-sserve my misstress-ss. While you hunt, I will prepare morsssels. Alwaysss, preparing them for my mighty misssss-tresss...&lt;hpage&gt;Continue this work if it pleases you sir, but do not call me your mistress, for I am not.&lt;page&gt;Sss... but you are... missstress. You are ssss-strong and I am weak.... a sss-sslave. Alwayss-sss, your ssss-slave...",SSSS！情妇，我值得莫尔斯·塞斯尔（Morsss-Sssel）吗？您必须consss-cums ... conssss-sum，并成为sss-stronger。当您狩猎时，我会准备Morsssels。总是，为我的强大的Misssss效果准备它们的准备...您是SSSS-Strong，我很虚弱。总是SSS，您的ssss-slave ...
TRADERS_QUEST_COMPLETE,"&lt;page=S&gt;That smell! S&#8217;overwhelming! I ain&#8217;t never seen so many roach guts at once!&lt;page=L&gt;Benj&#8217;n me old mate, get a grip on yerself. These guts still need cuttin&#8217;, and cleanin&#8217;, and stewin&#8217;. You got a lotta work ahead of you.&lt;page=S&gt;Fine by me, Crull, if it means such a feast! We&#8217;ll be eatin&#8217; like they do up in the Citadel soon enough!&lt;page=L&gt;And what about you, missy? You be joinin&#8217; us for this exquisite meal?&lt;hpage&gt;I&#8217;m afraid not, sirs. I must keep moving, and I fear the taste of such a delicacy is wasted on me.&lt;page=L&gt;I was hopin&#8217; as much. Two can sing, but three&#8217;s too many, eh? Har har!&lt;page=L&gt;Still, maybe this tool is enough for you to &#8216;member us by? A pointed weapon of me own makin&#8217;, from when I used to wrangle the Muckroaches meself. I bet you&#8217;ll get some good use from it.",＆lt; page = s＆gt;那个气味！S＆＃8217;压倒性！我从来没有一次看到如此多的蟑螂肠！这些胆量仍然需要Cuttin＆＃8217;和Cleanin＆＃8217;和Stewin＆＃8217;。您的工作很开心。我们将要吃掉＆＃8217;就像他们很快在城堡里做到了！您将加入＆＃8217;我们为这顿精美的饭菜吗？我必须继续前进，我担心我的味道浪费在我身上。同样多。两个可以唱歌，但是三＆＃8217太多了，是吗？har har！＆lt; page = l＆gt;尽管如此，也许这个工具足以让您＆＃8216;成员吗？我自己的Makin＆＃8217;从我曾经与Muckacrecrees Meself吵架的时候。我敢打赌，您会从中得到一些很好的利用。
GRUBFARM_MIMIC_GIVE_POST,"Take. Ahhh, my reward. Give them.",拿。啊，我的回报。给他们。
GRUBFARMER_DELIVERY_POST_DELIVERY,With thissss... ssso caringly delivered by the misstresss... our nesssst can be expanded!,有了THISSS ... SSSO由情妇送达...我们的NESSSST可以扩展！
PRINCE_CELL_TALK_ACT3,"Leave me be. This kingdom&#8217;s collapse has come. Better I stay here to accept it.&lt;page&gt;To die within a cage... A fitting finale for this shell, and a well deserved fate for these cursed lands.&lt;hpage&gt;As you wish, prisoner.",离开我。这个王国的崩溃已经到来。更好的是，我待在这里接受它。
GRUBFARM_MIMIC_MEET,I can sense you. Hidden.,我能感觉到你。隐。
TRADERS_PINS_REPEAT,"&lt;page=L&gt;Another trade fairly conducted, har. Those spines are sharp, and they&#8217;s hardly begun to rust. Better be gettin&#8217; back to your doc to get yerself sorted out, eh?",＆lt; page = l＆gt; har。这些刺是锋利的，它们几乎没有开始生锈。最好是gettin＆＃8217;返回您的文档以使自己整理好了，是吗？
TRADERS_QUEST_ACTIVE_REPEAT,"&lt;page=L&gt;We&#8217;re still waitin&#8217; on them roach guts you promised us, missy. Patiently, but not too patiently, you get me?&lt;page=S&gt;You can find the Muckroaches all &#8216;round these roads. Cut one down and reach inside its shell to pull out the tasty guts! Mmmmm!",＆lt; page = l＆gt; we＆＃8217; re now Waitin＆＃8217;在他们身上，您向我们答应我们的胆量，Missy。耐心，但不要太耐心，你得到了我？切下一个，伸到外壳内，拉出美味的胆量！嗯！
GRUBFARM_MIMIC_GIVE_DENY,"Give them. Take wrong. Ssssomeone, ssssave me.",给他们。错了。SSSSOMEONE，SSSSSAVE我。
GRUBFARM_MIMIC_MEET_PRE,"&lt;hpage&gt;I can sense you there, hidden in the darkness. Show yourself.",＆lt; hpage＆gt;我可以在那里感知到你，隐藏在黑暗中。展示自己。
TRADERS_QUEST_REFUSE,"&lt;page=L&gt;Refuse us do you, missy? No matter then. We&#8217;ll just get back to slowly starving, har har!",＆lt; page = l＆gt;拒绝我们，你，小姐吗？没关系。我们将回到慢慢饿死，哈哈！
TRADERS_QUEST_CANCOMPLETE,"&lt;page=L&gt;Ooh, someone&#8217;s carrying a delectable scent! Come to deliver us what you promised, missy?",＆lt; page = l＆gt;哦，有人带有美味的气味！来给我们您承诺的，Missy？
GRUBFARM_MIMIC_GRUB,The morsselssssss. Give them. Take.,Morssssss。给他们。拿。
TRADERS_PINS_REOFFER,"&lt;page=L&gt;Thinkin&#8217; serious about the spines, missy? Surely your good health&#8217;s worth more than a few beads!",＆lt; page = l＆gt; thinkin＆＃8217;认真对待刺，小姐？当然，您的健康状况不及几个珠子！
GRUBFARM_MIMIC_GIVE,"Yes, give it here!",是的，在这里给它！
TRADERS_QUEST_REOFFER,"&lt;page=L&gt;How &#8216;bout you put that poker to good use then, missy? Go poach some of them roaches and get us some tasty guts? There&#8217;d be fair trade waitin&#8217; for yer!",＆lt; page = l＆gt;如何很好地使用扑克，然后，米西？去偷猎其中一些蟑螂，给我们一些美味的胆量吗？那里是公平贸易waitin＆＃8217;对于你！
GRUBFARMER_RETURN,"Misstress, you called for your ssss-slave? I obey... for you are ssss-sstronger. My gatheringsss can wait.",怀疑，您呼吁您的SSSS-SLAVE吗？我服从...因为你是ssss-stronger。我的聚会可以等待。
TRADERS_QUEST_ACCEPT,"&lt;page=L&gt;Har. I reckon you don&#8217;t know how much trouble you&#8217;ve promised yourself just now, missy.&lt;page=L&gt;Ah well, best you get to it. Muckroaches are everywhere along these old roads. Just find a few and pluck their guts out. Easy as sin!",＆lt; page = l＆gt; har。我认为您不知道您刚刚向自己保证，Missy。沿这些古老的道路到处都有糟糕的地方。只需找到一些，然后拔出了胆量即可。像罪一样容易！
GRUBFARM_MIMIC_NOGRUB,Not right. Nothing. Go.,不对。没有什么。去。
PRINCE_CELL_TALK,"Leave me be, traveller. Better I accept this kingdom&#8217;s cruelty than rage helpless against it.&lt;page&gt;To waste in a cell, forgotten. &#8216;Tis no worse a fate than the Haunting that binds Pharloom&#8217;s many fragile minds.&lt;hpage&gt;As you wish, prisoner.",离开我，旅行者。更好的是，我接受这个王国的残酷性，而不是无助于对它的无助。＆＃8216;这比束缚伪装的许多脆弱的思想的困扰。
GRUBFARMER_TENDING,"Tending to the morss-ssels is a delicate tasssk, and requiresss much patience. Let me toil for you, missstresss, under your exquisite protection...",倾向于Morss-Ssels是一个微妙的Tasssk，需要耐心等待。小姐，让我为你辛苦，在你精致的保护下...
GRUBFARM_MIMIC_REMEET,Show again. Speak yourself.,再次显示。说自己。
GRUBFARMER_GROWING,"A ss-sslave must feed his misstress-sss. Morsss-sels will I grow. While you hunt, I am working... alwaysss-sss...",SS奴隶必须养活他的情妇。我会成长。当你狩猎时，我正在工作...总是SSSS ...
TRADERS_PINS_ACCEPT,"&lt;page=S&gt;S&#8217;a pleasure doin&#8217; business, ma&#8217;am. It&#8217;s only the finest scrap we&#8217;re sellin&#8217;. Promise!&lt;page=S&gt;For your shell&#8217;s sake, we&#8217;ll be hopin&#8217; all them spines can get the job done!",＆lt; page = s＆gt; s＆＃8217;愉快的doin＆＃8217;MA＆＃8217; AM。它仅是最好的废料，我们是Sellin＆＃8217;。承诺！他们所有的脊椎都可以完成工作！
