Key,EN,ZH
PILGRIM_LARGE_SK_SAVED_ACT3_REPEAT,"That golden knight&#8217;s out there, sister, cutting down the lost, keeping us safe.&lt;page&gt;Reckon this place would&#8217;ve already been overrun if not for them&#8217;n their noble blades.",姐姐，那个黄金骑士＃8217;削减了丢失的地方，确保我们的安全。
CARETAKER_DELIVERY_POST,"Take some beads for your effort, miss bellringer, and know this sad lot&#8217;ll be survivin&#8217; a little longer thanks to you.",贝林格（Bellringer）小姐，以一些珠子为您的努力，并知道这个可悲的地段＆＃8217; ll是Survivin＆＃8217;多感谢您。
CARETAKER_SNARE_COMPLETE_POST,"S&#8217;done! The parts are prepared. I&#8217;m headin&#8217; up now to set the heavy thing.&lt;page&gt;Even with the trap laid, best be guessin&#8217; her on top won&#8217;t go down so simple. She&#8217;ll sense what&#8217;s comin&#8217;.&lt;page&gt;That blade of yours is gonna have to do its work &#8216;fore this thing can snap.&lt;hpage&gt;I&#8217;d expected such, sir. And I am ready. Set your snare. I shall attend shortly.",S＆＃8217;完成！准备零件。I Headin＆＃8217;现在要设置沉重的东西。她在上面赢得了如此简单。她将感觉到您的刀片＆lt;我准备好了。设置您的圈套。我很快就会参加。
CITY_MERCHANT_SHOP_REPEAT_ACT3,"Everything is falling apart, my dear one. Be sure to share your rosaries with me before it&#8217;s too late!",亲爱的人，一切都崩溃了。在为时已晚之前，请务必与我分享您的念珠！
CITY_MERCHANT_TALK1,"Lots of stories being sung about you, dear one. Gathering supplies, saving lost bugs... all sorts of good deeds!&lt;page&gt;Very clever, to craft such a reputation for yourself. If you keep it up, you&#8217;ll fast become a legend among these simple sorts.&lt;hpage&gt;I&#8217;ve no interest in becoming one, madam. In my long life, I&#8217;ve known enough legends, watched them rise and fall and fade away, many times.&lt;page&gt;Is that so, dear? How humble you are! You should know though, this old pilgrim has her sight keenly trained on you! Nothing gets by old Jubilana!",亲爱的一个，很多故事都在演唱。收集用品，节省丢失的虫子...各种各样的善行！如果您保持它，那么您将在这些简单的类型中成为一个传奇。在我的漫长一生中，我＆＃8217;看着他们的崛起和跌倒，逐渐消失，很多时候。你多么谦虚！但是，您应该知道，这个古老的朝圣者对您的视力敏锐地训练了！旧的朱比拉纳一无所获！
CARETAKER_MEET_2,"It was you, wasn&#8217;t it? Ringin&#8217; that great clanging bell just now! Right when I&#8217;m tryin&#8217; to get some sleep!",是你，不是吗？Ringin＆＃8217;那个伟大的叮当声！就在I＆＃8217; M Tryin＆＃8217;要睡一会儿！
PILGRIM_LARGE_REPEAT,"Please don&#8217;t go too far, sister. Right here&#8217;s the only safety you&#8217;ll find within this whole cursed place.",姐姐，请不要走得太远。就在这里，您唯一的安全性在整个被诅咒的地方找到。
CITY_MERCHANT_BRIDGE_REPEAT,"There must be a few more goodies to gather up here, and I don&#8217;t need you lingering around in the meantime. Blessings, and farewell!",这里必须有更多的好东西可以收集到这里，我不需要您在此期间徘徊。祝福，告别！
CARETAKER_LV1_MEET,"Well, well! See here what your brash behaviour has wrought, bellringer!&lt;page&gt;Just as I predicted, this once-peaceful sanctuary is now crawling with all sorts. We&#8217;ve the beginnings of a shabby little settlement, all huddled around this old shrine!&lt;hpage&gt;These poor bugs, all are victims of the Citadel and its insidious attraction. This place draws them up, into its maw, only to consume them, utterly.&lt;page&gt;Aye, inside and out, s&#8217;nothing but a grand, gilded lie. Well, at least these few stragglers can enjoy a moment&#8217;s safety. Poor fools...",好吧，！如我所预测的那样，在这里查看您的野蛮行为，贝林格！我们是一个破旧的小定居点的开端，所有这些都围绕着这个古老的神社！这个地方将它们吸引到了莫（Maw）中，只是完全消耗了它们。好吧，至少这几个流浪者可以享受片刻的安全。可怜的傻瓜...
CITY_MERCHANT_ITEM_SEAL_CHIT,"A precious order passed down by the holy conductors. Rare now to find these old texts, and rarer still to find a bug able to read &#8216;em.",由圣导体传递的宝贵命令。现在很少会找到这些旧文本，并且仍然很少有人找到能够读取＆＃8216; em的错误。
CITY_MERCHANT_SAVED_1,"Ooh, what a turn-up! I&#8217;d feared t&#8217;was naught but meself left sane about these halls. Seems this old bug&#8217;s luck has not yet worn thin!&lt;hpage&gt;It was more than luck that saw me to you, madam. I promised the wish of bugs concerned for your safety.&lt;hpage&gt;I urge you to head their way now, beside the old bell, up and over.&lt;hpage&gt;A small settlement has formed there, and the bell, reawakened, seems to ward away the worst of the Citadel&#8217;s many dangers.&lt;page&gt;A settlement? In these long-haunted halls? Are you telling naughty little lies, dear one? Well, I suppose there&#8217;s not too much danger in going and seeing the truth for meself.",哦，真是个转折！我担心的T＆＃8217;毫无疑问，但Meself在这些大厅周围留下了理智。夫人看来，这个旧的错误还没有磨损稀薄！我答应了有关您安全的漏洞的愿望。在这些长大的大厅里？亲爱的一个人，你在告诉顽皮的小谎言吗？好吧，我想那里并没有太多的危险去看到Meself的真相。
CITY_MERCHANT_SAVED_2,"Be away then, dear one, and leave me to gather up my trinkets and baubles.&lt;page&gt;If this settlement of yours truly has bugs settled safe, I&#8217;ll be able to make some lucrative trades. Blessings and farewell!",亲爱的一个，请离开，让我收集我的小饰品和小玩意。祝福和告别！
