Key,EN,ZH
BALLOW_CONTROL_KEY,"Ho, miss! How&#8217;s all this then? Lotta dials to be trackin&#8217;, but at least the controls seem in good order.&lt;page&gt;From here, I can guide your bell down, best as any bug.&lt;page&gt;&lt;hpage&gt;Then you&#8217;ve no prior experience with this type of transport?&lt;page&gt;No one does, miss! Them&#8217;s who used to dive&#8217;re all long dead, or cursed ta half life. An&#8217; there ain&#8217;t no bug left alive&#8217;s been brave or stupid enough to try... &#8216;til now, at least.&lt;page&gt;I&#8217;ll work it best&#8217;s I can. Can&#8217;t do much more, I&#8217;m afraid. At least the forgings of these docks were built to last. Now we&#8217;s only gotta pray they hold for you.&lt;page&gt;Here&#8217;s the key that&#8217;ll see you inside its metal belly. Pop in there once you&#8217;re feelin&#8217; good and ready. In the meantime, I&#8217;ll get to seeing things set up here.",嚯，小姐！这玩意儿够复杂的！仪表盘多得数不过来，好在操控装置还算正常。&lt;page&gt;我能在这儿引导潜钟下潜，保准比任何虫子都靠谱。&lt;page&gt;&lt;hpage&gt;这么说，你从没操作过这种器械？&lt;page&gt;谁都没这种经验，小姐！以前开潜钟的早死绝了，剩下的也半死不活。活着的虫里，就没有哪个又疯又蠢的敢用这玩意……直到现在。&lt;page&gt;我会尽力而为，但别的可不敢打包票。好在码头造的这家伙够结实，现在只能祈祷它下潜后不会出什么故障。&lt;page&gt;这是这个大铁肚子的钥匙。等你准备好了就钻进去。我这就去把装置整备妥当。
FORGE_DAUGHTER_ACT_3_WHITE_FLOWER_REPAIR_UNSEEN,"&lt;hpage&gt;Forge Daughter, I have acquired a power that will enable me to end this black madness. Soon I will act to stop the quakes and save this land.&lt;page&gt;Excellent, pointy bug. Your drive, and your vigour, both have proven surprisingly large for one so small.&lt;page&gt;Know we have heard from Ballow, who told of his repair efforts upon the diving bell below. By now that task is likely completed.&lt;page&gt;If you are hoping to put his work to the test, then we shall wish again on your survival. And if our own service can aid your critical task, know we will continue to provide it gladly.",&lt;hpage&gt;熔炉之女，我已获取终结这场黑灾所需的力量。终结动荡、拯救这片地区就在此一举。&lt;page&gt;啧，好家伙！小尖头虫，没想到你个头不大，魄力和干劲倒是真不小。&lt;page&gt;听巴洛说，他底下那口老破钟修得差不多了。这会儿多半已经完工。&lt;page&gt;想试试那家伙的成果？那咱还得再一次祝你好运。要是咱这熔炉里的功夫能帮上忙，甭客气，照旧伺候着！
LADY_BUG_DEPLETED_A,"Erm, you may notice your prize there is a little light, my lady...&lt;page&gt;Awful truth is, you&#8217;ve cleaned us out. We&#8217;ve not a single measly rosary left between us. Turns out we were just no match for you!&lt;hpage&gt;It was a game fairly played, sir, though I&#8217;ve no wish to see you destitute. Would you like to make another kind of wager, perhaps?",呃，您可能会觉得这次的奖品有点寒酸，女士……&lt;page&gt;实话说，您把我们家底都赢光了。半颗念珠都不剩！我们根本不是您对手！&lt;hpage&gt;先生，游戏确实公平公正，但我也不想见你倾家荡产。要不要换个赌注？
BALLOW_DIVING_BELL_PT2,"Grfff... So its gotten that bad, aye? I guess... If that&#8217;s how it is, I&#8217;ll be your bug.&lt;page&gt;Meet me below, at the diving bell. We&#8217;ll see if I can get you ready for the drop.",&lt;page&gt;嘶……已经糟到这地步了？行吧……如果真是这样，那我帮你。&lt;page&gt;去潜钟底下碰头，我看能不能给你整备好。
DIVING_BELL_POST_INSPECT,"Holler when you&#8217;re ready, miss. The upgrades are done. That bell&#8217;s as ready as it&#8217;ll ever be.",准备好了就喊我一声，小姐。升级已经完成，这只潜钟现在状态绝佳。
BALLOW_SAUNA_REPEAT,Ahhh... Can you feel it yet? All your troubles dripping away...,啊哈……感觉到了吗？烦心事都在随着汗液滴落……
FORGE_DAUGHTER_CANCEL_NOMETAL,"The deposits around here, those long-burning rocks. They&#8217;re useful to the Citadel, in whatever their shadowy business, but useless if you require tools of us!&lt;page&gt;We need finer material. Rare metal. Pharloom would provide a bounty to the able explorer. Find us some, and we&#8217;ll build your violent aids.",储备在附近的长效燃烧石？圣堡那帮虫子拿去搞些见不得虫的勾当倒合适，对我们来说屁用没有！&lt;page&gt;去找些更好、更稀有的金属！只要你有本事，纺络遍地都是是宝贝。找着了，我们就有办法给你造那些家伙什。
LADY_BUG_CHALLENGE_FINAL_END,"Ola, ola! Our lady has missed her mark, and so thusly ends our challenge!",哎哎！这位女士脱靶了，挑战结束！
BALLOW_DIVING_BELL_ABYSS_BLACK,...iss...istake...erwhelm...retrie...a...ssible...,……错……错误……过载……无法……打捞……
LADY_BUG_DECLINED,"My lady, I pray you reconsider! T&#8217;would be an honour to see those strong limbs of yours in action, truly!",女士，再考虑考虑吧！要是能见识到您矫健的风姿，定会是我们的荣幸！
LADY_BUG_CHALLENGE_FINAL_POOR,"A respectable enough effort, truly. You didn&#8217;t earn enough rosaries to make a profit off us, but that should only spur you on to try again!",表现非常不错！虽然赚的念珠还不够回本，或许正好能激励您再试一次！
DOCK_KEY_RECEPTICLE_INSPECT,An old diving bell. Its door is shut tight by an ornate clamp.,一具古旧的潜钟，钟门被一只华丽的夹钳紧紧锁闭。
BALLOW_REPAIR_REPEAT,"The diving bell&#8217;ll be ready again soon, miss. Once this new shield-shell is fitted it&#8217;ll surely withstand the drop!.. Surely!",潜钟很快就能再用，小姐。新护壳装好后绝对能扛住下坠！绝对！
BALLOW_DIVING_BELL_ABYSS_REPEAT,...tract...annot...ap...en...epair...orry..iss...,……牵引……无法……修理……抱歉……小……
LADY_BUG_ACCEPTED_3,"Ola, ola, time to play! Take these straight pins and strike the target when you see it!",哎哎，游戏要开始咯！拿好这些掷针，见靶就扎！
BALLOW_DIVING_BELL_TO_BENCH_REPAIRED,"&lt;hpage&gt;Sir, I require a moment. Please unlock the bell for me.&lt;page&gt;Aye. Can do, miss. Hail me again when you&#8217;re ready to travel.",&lt;hpage&gt;巴洛先生，我还需要点时间。麻烦打开钟门。&lt;page&gt;没问题，小姐。等您准备妥当了，再喊我一声就行。
BALLOW_SAUNA_MEET,"Here to sweat away your sorrows, miss? The steam does wonders for a mind set sullen, or a shell gone stiff.&lt;hpage&gt;I&#8217;ve found these lowlands hot enough already, and mine is a shell more resilient than most.&lt;hpage&gt;To challenge that further seems a unique sort of madness.&lt;page&gt;Aye, well this is Pharloom, miss! Madness is catching. I&#8217;d say this here&#8217;s the smallest form of it.",有烦心事吗，小姐？来蒸桑拿吧，蒸汽对郁结的心绪或僵硬的甲壳有奇效。&lt;hpage&gt;我倒觉得这里已经够热了，何况我这副甲壳比多数虫子都硬实。&lt;hpage&gt;热上加热，怕不是疯得别致。&lt;page&gt;哎，这儿可是纺络，小姐！疯病是会传染的。要我说，在这蒸桑拿算最轻的症状了。
LADY_BUG_DEPLETED_REPEAT,"What an honour it was to play with you, my lady! I hope you&#8217;ll think of us whenever you feel those rosaries rattling around in your pockets.",与您同乐实乃荣幸！希望您摸着兜里的念珠时能想起我们。
DIVING_BELL_TO_BENCH_INSPECT,Cancel Descent?,取消下潜？
FORGE_DAUGHTER_ACT_3_START_FIRST_MEET_2,"There is no choice! Not for us. We cannot leave, not ever. We are a Forge Daughter, fixed to this forge and its service. Ours is a duty lifetime bound.",没得选！从来就没得选。咱是熔炉之女，生来就和这熔炉缔结了契约。使命在身，至死方休。
FORGE_DAUGHTER_DIVING_BELL_REPEAT,"If you&#8217;re planning passage below, Ballow&#8217;s the one to assist you. We must remain by the forge, always.",若想下潜，去找巴洛帮忙。咱得永远守着熔炉。
