Key,EN,ZH
HH_BARTENDER_NECTAR_PROMPT,Purchase Vintage Nectar?,购买陈年蜜露？
HH_BARTENDER_GREET_ACT3,"Ho, traveller! With the lands outside fresh struck by fell events, it&#8217;s good to see someone still survivin&#8217;.&lt;hpage&gt;This new curse proves a threat even to my strengthened shell. For your own safety, barkeep, I strongly suggest you remain within your walls.&lt;page&gt;Aye, well you&#8217;re welcome to do the same. Stay and wash the troubles away with a few bells of nectar... though, given the scale to them shakes, I&#8217;m thinkin&#8217; it might take more&#8217;n just a few.",噢，旅行者！您没事吧？外头刚遭了灾，能见到还活着的虫子真让我宽心。&lt;hpage&gt;酒保先生，劝你最好待在屋内。这新的诅咒连我的甲壳都扛不住。&lt;page&gt;您说的对，您要乐意也可以留下。喝几盏蜜露压压惊……不过看这地动山摇的架势，怕得喝光我的存货才够压惊的。
HH_BARTENDER_CURSED,"Phew. You&#8217;re lookin&#8217; a bit raw there, miss. I&#8217;m thinkin&#8217; it&#8217;ll take more than my nectar to fix you up.&lt;hpage&gt;A parasite of your land has twisted itself into my shell. Its writhing is causing some discomfort.&lt;hpage&gt;If not for my unique constitution, I suspect it would have already consumed me entirely.&lt;page&gt;Well don&#8217;t be bringing such dangerous things in here! Head to the top of the moors. There&#8217;s an old doctor up there hiding in her bell.&lt;page&gt;Her remedies are said to often hurt more&#8217;n they help but, given your state, I&#8217;d say it&#8217;s worth the risk.",嚯，您看着不太对劲啊，小姐。光靠我的蜜露，可治不了您这毛病。&lt;hpage&gt;我的甲壳里钻入了寄生物，它的蠕动使我不太舒服。&lt;hpage&gt;若不是体质特殊，我可能早被啃噬干净了。&lt;page&gt;啊，别把这种危险的玩意带到我这来！赶紧去沼泽的顶部，那里有一位老医生！她躲在一口钟里。&lt;page&gt;虽说她开的药往往比疾病本身的危害还大，但您这状况值得赌一把。
HH_BARTENDER_NECTAR_OFFER,"&lt;hpage&gt;Bartender, I&#8217;ve been tasked to acquire a nectar of significant age. Would you retain any such drink?&lt;page&gt;After the finer stuff, eh? Sure I might have a few vessels left, but I can&#8217;t be selling &#8216;em cheap.&lt;page&gt;The shells in my cellar are the last left in Pharloom. Once they&#8217;re gone, no bug&#8217;ll ever taste such sweetness again.",&lt;hpage&gt;酒保先生，我在找储存多年的蜜露。你这儿可有存货？&lt;page&gt;嘴巴越来越刁了，小姐？我这应该还剩几瓶，但价钱可不便宜。&lt;page&gt;我地窖里的存货可是纺络最后的陈酿。喝完之后，再也没有虫子能享受到此等蜜酿咯。
HH_BARTENDER_DRINK_DECLINED,"&lt;hpage&gt;Another time, perhaps. Among the few gifts of my birth, I find rare need for sustenance.&lt;page&gt;S&#8217;at so? Well the nectar&#8217;s always on tap if you find yourself feelin&#8217; different.",&lt;hpage&gt;改日吧。我这副躯壳生来特殊，少有饥渴之时。&lt;page&gt;这样吗？蜜露随时管够，想来一盏就招呼我一声。
HH_BARTENDER_NECTAR_REOFFER,"&lt;page&gt;Thinkin&#8217; again on the Vintage Nectar?&lt;page&gt;My price might seem steep, but I assure you the few finer bugs who passed used to pay a lot more.",&lt;page&gt;还惦记着陈年蜜露？&lt;page&gt;别看我现在出的价高，之前路过的阔绰顾客给得更多呢！
HH_BARTENDER_OFFER_REPEAT,Any chance you&#8217;d reconsider dealing with my blasted craw problem? I&#8217;d offer fair reward for your efforts.,真不打算帮我收拾房顶上的麻烦？酬劳保证让您满意。
HH_BARTENDER_OFFER_QUEST,"Traveller, I&#8217;m not wanting to impose, but I&#8217;ve a wish that one of your able sort could likely grant.&lt;hpage&gt;I&#8217;ve my own task to attend, good sir, but I&#8217;ll hear you out.&lt;page&gt;It&#8217;s those blasted craws atop here. My roof is fast becoming their cosy nest! Now they&#8217;ve grown so bold they&#8217;re starting to attack pilgrims as they pass.&lt;hpage&gt;Would you simply have them slain? If so, your sturdy shell seems more than up to that task?&lt;page&gt;If only it were so simple. Kill the ones above and more just keep coming. It&#8217;s the warmth of this home you see. Draws &#8216;em right in.&lt;page&gt;I&#8217;m looking for a long-term solution. A scarecraw! I&#8217;ll build the biggest there&#8217;s ever been, so fearsome it&#8217;ll keep those craws away for good!",旅行者，本不该劳烦您，但有件事非得您这样的利落角色才能办。&lt;hpage&gt;虽然我还有自己的事要去做，但请说吧，先生。&lt;page&gt;您看到房顶上那群腐囊虫了吗？它们快把我这儿当成自己的窝了！最近胆子越来越肥，已经开始攻击过路的朝圣者了。&lt;hpage&gt;你是想直接把它们杀光？看你这身强健的躯壳，办这事应该不费劲吧？&lt;page&gt;要这么简单就好了。杀完一茬又来一茬，全怪我这酒馆太暖和，招虫子。&lt;page&gt;得想个一劳永逸的办法——扎个巨型稻草人！保准吓得它们再不敢靠近！
HH_PATRON_LEFT_TALK_1,"Tis a blessed bit of luck to find this place, eh sister?&lt;page&gt;The climb&#8217;s proved harder than even my best guessin&#8217;, but there&#8217;s still some vigour left in these old limbs. Doubly so, now I have a belly full of nectar!",能找着这酒馆，真算撞大运了！&lt;page&gt;这段攀登比我预想的还要艰难，但我这副老甲壳里仍然残存着些许活力。如今，狠狠灌上几盏蜜露，更是精神倍增！
HH_BARTENDER_REPEAT,"Care for a drink, traveller? My nectar&#8217;s got a kick that&#8217;ll warm your shell in these sodden climes.",旅行者，来盏蜜露暖暖身子？这地方湿气重，而我的蜜露最能驱寒。
