Key,EN,ZH
BELLTOWN_HOUSE_LOCKED,A locked bellhome.,一间锁住的钟居。
WISP_BOMB_PROMPT,Construct tool?,制作工具？
CLOVER_LAKE_PLINTH,Lift your voices. Know our grace.,齐声高歌，沐浴恩典。
JUDGE_NURSERY,"Bug born of Pharloom. You have been chosen.&lt;br&gt; May our Citadel&#8217;s holy gilding harden your soft shell.&lt;page&gt;Stand eternal as our arbiter, that no bug bearing sin shall step within our sacred halls.",纺络的虫民，你们已被选中，&lt;br&gt;愿圣堡的鎏金淬硬你们的软壳。&lt;page&gt;作为审判官永远伫立，使罪孽之徒永不得踏入圣殿。
WEAVE_DARK,A rune-scroll depicting void given form.,描绘虚空化形的符文卷轴
WEAVE_WHITE_LAKE,"Sisters, spiders, watch these waters flow,&lt;br&gt;Cleansing, Binding, as Silk from shell,&lt;br&gt;Memories of our kingdom calm.",姊妹，蛛族，观此净水长流。&lt;br&gt;涤荡，缠缚，如壳中抽丝，&lt;br&gt;抚平王国的记忆褶皱。
DOCKS_NOTE_1,"At the seventh bell toll, send:&lt;br&gt;Thirty measures, four beats Smokerock,&lt;br&gt;Eight beats Sweetsmelt,&lt;br&gt;Mark of fealty, all workers.&lt;page&gt;At the ninth bell toll, send:&lt;br&gt;Twenty measures, two beats Smokerock,&lt;br&gt;Seven beats Sweetsmelt,&lt;br&gt;Mark of fealty, all workers.&lt;page&gt;",七钟响时运送：&lt;br&gt;三十节又四奏烟岩，&lt;br&gt;及八奏甜熔渣。&lt;br&gt;全体劳工需示忠诚。&lt;page&gt;九钟响时运送：&lt;br&gt;二十节又两奏烟岩，&lt;br&gt;及七奏甜熔渣。&lt;br&gt;全体劳工需示忠诚。&lt;page&gt;
HANG_MAP_GET_MSG,High Halls Map,高庭地图
CLOVER_MAP_GET_MSG,Verdania Map,翠庭地图
UNDERSTORE_MAP_GET_MSG,Underworks Map,圣堡工厂地图
CLOVER_LAKE_PLAQUE,When three fonts weep our sacred shrine shall rise.,三眼泪泉涌流，圣坛自当升起。
LIBRARY_THEATRE_LINES_ACT3,"Damned are we! The lingered few bound still to suffer. Cursed thrice by Pharloom, to wait, to watch, to cry our anguish.&lt;page&gt;No more! We say! No more! We cry! We all have wailed and wept. Fair Pharloom&#8217;s fall has come at last. Its end we now accept.",万众受难！幸存者仍受折磨。纺络三度诅咒加身——苦候，守望，哀哭不休，&lt;page&gt;到此为止！我在此宣言！到此为止！我在此高呼！我们已流尽血泪。荣光纺络终将陨落，我们应接受终局。
GREY_LORE,"Litany of the Worker&lt;br&gt;May we catch the dregs and never tire,&lt;br&gt;May we clean the dregs and never hunger,&lt;br&gt;May we spool the dregs and never falter.",劳工祷词&lt;br&gt;愿我们滤渣不倦。&lt;br&gt;愿我们清秽不饥。&lt;br&gt;愿我们纺线不怠。
WARD_OATH,"Oath of the Whiteward&lt;br&gt;While song must be sung, none may falter.&lt;br&gt;Infirmity. Sickness. Death.&lt;br&gt;All are banished from our Citadel.",白愈厅誓言&lt;br&gt;歌不可辍，虫不可怠。&lt;br&gt;孱弱、病痛、死亡——皆逐出圣堡。
SLAB_ORDERS_2,"Penitent, Fourth of the Fourth.&lt;br&gt;Guilty of the sins of infirmity, sickness.&lt;br&gt;Penance by swallowing.&lt;br&gt;Absolution granted after death.&lt;page&gt;Penitent, Twelfth of the First.&lt;br&gt;Guilty of an unnamed sin.&lt;br&gt;Penance by casting.&lt;br&gt;Absolution not granted.",罪者，第四组第四号。&lt;br&gt;犯孱弱、病痛之罪。&lt;br&gt;处以吞刑。&lt;br&gt;死后得赦。&lt;page&gt;罪人，第一组第十二号。&lt;br&gt;犯未名之罪。&lt;br&gt;处以流放。&lt;br&gt;不予赦免。
SLAB_ORDERS_1,"Penitent, Eighth of the Twelfth.&lt;br&gt;Guilty of the sin of irreverence.&lt;br&gt;Penance by chaining.&lt;br&gt;Absolution granted after death.&lt;page&gt;Penitent, Second of the Fourth.&lt;br&gt;Guilty of the sin of dissonance.&lt;br&gt;Penance by silencing.&lt;br&gt;Absolution granted after death.",罪者，第十二组第八号。&lt;br&gt;犯不敬之罪。&lt;br&gt;处以锁刑。&lt;br&gt;死后得赦。&lt;page&gt;罪者，第四组第二号。&lt;br&gt;犯杂音之罪。&lt;br&gt;处以禁言。&lt;br&gt;死后得赦。
DUSTROACH_GUTS_INSPECT,Remains of a Muckroach crushed by falling rock.,蟑螂被落石碾压后的残渣。
SHAMAN_STONE_CHAPEL,"Anguished Aura&lt;br&gt;Eight masks hard, swirled soul enraged.&lt;br&gt;Twelve aknids flat, all juices strained.&lt;page&gt;Six pilgrims living, hung long to drain.",苦痛灵氛&lt;br&gt;八具硬质旋魂怒面。&lt;br&gt;十二只阿克尼，榨尽汁液。&lt;page&gt;六名活祭朝圣者，悬吊沥干。
WARD_LIFT_KEYHOLE,A white lock bearing a surgical symbol.,带有外科标志的苍白锁具。
WEAVE_HARP_MAP,A rune depicting the Weavenest.,描绘织巢的符文。
SLAB_MAP_GET_MSG,Slab Map,罪石地图
LIBRARY_MAP_GET_MSG,Whispering Vaults Map,低语书库地图
SWAMP_STOREROOM,Their shells are ours. Their souls are ours.&lt;br&gt;Our hate is forever.,他们的躯壳是我们的，他们的灵魂是我们的。&lt;br&gt;我们的恨意永世不灭。
ARBORIUM_ORDERS,Containment fails. Memory lost. Excise outer. Maintain inner.&lt;br&gt;Shellwood stasis sustained - Remember.&lt;br&gt;Marrowlands stasis critical - Remember.&lt;br&gt;Verdanian environment exceeded - Destined to forget.,封存溃败。记忆遗失。切除外区。维持内区。&lt;br&gt;甲木林封存稳定——须铭记。&lt;br&gt;髓骨地封存危急——须铭记。&lt;br&gt;翠庭生态失控——注定遗忘。
