Key,EN,ZH
NOTE_CRYPT_WORM,A frustrating fiend. They flee beneath the bone whenever I try to strike them down.,恼人的小恶魔，每当我挥针便钻入骸骨缝隙逃遁。
NAME_POND_SKATER,Pond Skipper,滑水者
NOTE_ROSARY_PILGRIM,Is this abundance a sign of purity or greed? The way faith is measured in this land is curious indeed.,这般财富象征着虔信还是贪婪？多数虫肯定视此等囤积为罪孽。
NOTE_SONG_PILGRIM_MAESTRO,Once they summoned song from their subjects. Now they rise only to command an end to those unstrung.,昔日的乐章指挥者，如今只为剿灭清醒者而挥棒。
NAME_CORAL_KING,Crust King Khann,壳王卡汗
DESC_CLOCKWORK_DANCER,"Automatons of impeccable construction, welcoming entrants to their chamber with a display of deadly dance.",以致命舞姿迎接访客的精密自动机。
DESC_SLAB_FLY_BROODMOTHER,Mad matriarch of the Slab rarely seen outside her warren. From her all jailers are born and bred.,罪石牢狱的癫狂主宰，所有狱卒皆由其孕育。
NOTE_PILGRIM_FLY,"Flight it possesses, but only just. It may lift from the stone, but those sad wings would never carry it far.",那对萎缩的翅膀勉强能使它们离地数尺，但没法飞多远。
NAME_PILGRIM_STAFFWIELDER,Pilgrim Guide,引路朝圣者
NAME_TROBBIO,Trobbio,特罗比奥
DESC_MAGGOTS,"Mindless infant larva, coated in thick slime.",覆满黏液的无智幼虫。
DESC_SWAMP_SHAMAN,"Chief and chaplain of the Stilkin, forever raging against the Citadel that chokes their caves and sees them suffer.",斯提金部族酋长兼祭司，对圣堡切齿痛恨——圣堡毁掉了斯提金部族的洞穴，令其族虫苦不堪言。
NAME_WEAVER_SERVITOR_LARGE,Servitor Boran,仆从博兰
NAME_CORAL_HUNTER,Alita,阿利塔
NOTE_LIGHTBEARER,An essential bug if one ever hoped to navigate that dark maze of stacks and scrolls.,如果没有此虫引路，没有其他虫能在那个由书卷堆砌的黑暗迷宫中穿行。
DESC_GRASSHOPPER_CHILD,"Child of Verdania, fully capable to fight despite its young age.",翠庭的幼童，虽年幼却战力完备。
NOTE_SLAB_PRISONER_FLY_NEW,"Their thick shroud leaves them sightless, yet it seems to matter little. They have no care for their own safety, wishing only to charge at those they sense as sinful.",厚罩使其目不能视，却仍疯狂冲击周围感知到的&#8220;罪人&#8221;。
