Key,EN,ZH
MARROW_START_SIGN,Pilgrim&lt;br&gt;You are blessed to walk the foundations of Pharloom.&lt;br&gt;Humble yourself before the shells of those who gave their lives to hold our kingdom&#8217;s weight.,朝圣者＆lt; br＆gt;您很幸运能够漫步的基础。
RED_MEMORY_ROOT2,"&lt;hpage&gt;You are wrong, Lady...&lt;hpage&gt;I knew the wish, and the price to achieve it. And now, across these many ages, I have only come to know it better...&lt;hpage&gt;Strength... in mind, in care, in claw. Strength enough that I may live to see a world better than our own, or to craft a world as I desire. &lt;hpage&gt;That was the wish, of my mother, of my mentor, and of you...&lt;page&gt;...Indeed, spider... So much pain you must have passed to speak our hope so simply...&lt;page&gt;For her you become... who knows clear our desire, and has seen full the darkness beneath our house, I would show you the gift...",＆lt; hpage＆gt;你错了，女士...现在，在许多年龄段的时候，我只知道它更好……＆lt; hpage＆gt;力量……在爪子，爪子中的照料中。力量足以让我活着，可以看到一个比我们自己更好的世界，或者按照自己的意愿创造一个世界。＆lt; hpage＆gt;那是我母亲，我的导师和你的愿望……
CORAL_CRUST_TAB_1,"Coral sways,&lt;br&gt;Clear water flows,&lt;br&gt;Upon our river free of time.",珊瑚的摇摆，＆lt; br＆gt;透明的水流，＆lt; br＆gt;在我们的河上免费的时间。
SILK_HEART_MEMORY_BELLBEAST_03,...Arrived... At last...,...到达...终于...
SILK_HEART_MEMORY_BELLBEAST_04,...Our Silk...,...我们的丝绸...
RED_MEMORY_ROOT3,"Witness, the first light. The only means we possess to resist that void with which our family is forever linked.&lt;page&gt;Reach forth, child grown strong. Wrest it from this rememberance. Burn yourself free from our sad fate...",见证，第一个灯。我们拥有的唯一意味着要抵抗我们家庭永远联系的空白。从这种记忆中夺走它。烧掉自己摆脱我们悲伤的命运...
SILK_HEART_MEMORY_BELLBEAST_05,...Our strength...,...我们的力量...
SILK_HEART_MEMORY_BELLBEAST_06,...Our nature...,...我们的天性...
SILK_HEART_MEMORY_LACE_4,...One to wish our waking...,...一个希望我们醒来的人...
RED_MEMORY_BEAST,"...Ignore them, daughter... their whispers...&lt;page&gt;...Greater, grander... Weaver, guardian, queen... Those are their desires... not your own. Certainly not mine...&lt;page&gt;...Only if you resist them, you might see it, another hope... beyond...&lt;page&gt;...But to recall these words, in time so far... Will you even remember me, child? Could you?...&lt;page&gt;...A mother... before the mask... before I lay forever in duty...",...忽略他们，女儿...他们的耳语...当然不是我的...您可以吗？
