Key,EN,ZH
BATHHOUSE,Citadel&lt;br&gt;Spa,Citadel＆lt; br＆gt; spa
BONETOWN_GRAVEYARD,Bonegrave,Bonegrave
BELLHOME,Bellhome,钟声
ABYSS,The Abyss,深渊
CRADLE,The Cradle,摇篮
HALFWAY_HOUSE,Halfway Home,中途回家
BONECHURCH,Ruined Chapel,毁了教堂
BONETOWN,Bone Bottom,骨底
JUDGE_STEPS,Blasted Steps,爆炸的步骤
MOSS_CAVE,Moss Grotto,莫斯格罗托
RED_CORAL_GORGE,Sands of Karak,卡拉克的沙子
WARD,Whiteward,白人
ORGAN,Exhaust Organ,排气器官
CITY_OF_SONG,The Citadel,城堡
CITADEL_FORUM,The Forum,论坛
RED_CORAL_TOWER,Coral Tower,珊瑚塔
FLEATOPIA,Fleatopia,肉饼
ICECORE,Brightvein,Brightvein
NONE,Unknown,未知
SPRINTMASTER_CAVE,Frontier,边境
LIBRARY,Whispering Vaults,窃窃私语
MUCKVILLAGE,Bilehaven,Bilehaven
MOSSTOWN,Mosshome,mosshome
BELLTOWN_HAUNTED,Haunted Bellhart,闹鬼的贝哈特
COG_CORE_SHORT,Cog Core,COG核心
PEAK,Mount Fay,费伊山
DUST_MAZE,The Mist,雾
CITADEL_STAGE,The Stage,舞台
HANG,High Halls,高厅
WEAVER_SHRINE,Weavenest Atla,编织的Atla
GREYMOOR,Greymoor,绿色
VOLTNEST,Voltnest,伏特尼斯特
EXTRA_TUBEHUB,Terminus,终点
HOT_SPRING,Hot Spring,温泉
CITADELSHRINE,First Shrine,第一个神社
CRAW_LAKE,Craw Lake,克劳湖
CRAWLSPACE,Wormways,蠕虫
LIBRARY_SHORT,Vaults,拱顶
DOCKS,Deep Docks,深码头
WHITELAKE,Pale Lake,苍白的湖
MEMORY,Memory,记忆
FLEA_FESTIVAL,Festival of the Flea,跳蚤节
ENCLAVE,Songclave,Songclave
SWAMP,Bilewater,胆水
UNDERSTORE,Underworks,在工作之下
CITADEL_STATION,Grand Bellway,大钟道
COG_CORE,Cogwork&lt;br&gt;Core,cogwork＆lt; br＆gt;核心
HIGH_HALLS,Choral Chambers,合唱室
FRONT_GATE,Grand Gate,大门
WISP,Wisp Thicket,韦斯普灌木丛
FORGE,Forge,锻造
CAULDRON,The Cauldron,大锅
PATH_OF_BONE,The Marrow,骨髓
PILGRIMS_REST,Pilgrim&#8217;s Rest,朝圣者休息
CLOVER,Verdania,韦达尼亚
DUSTPENS,Sinner&#8217;s Road,罪人的路
ABOVE_CRADLE,Border Caves,边界洞穴
SHELLWOOD_THICKET,Shellwood,壳牌
HUNTERS_NEST,Hunter&#8217;s March,猎人三月
THE_SLAB,The Slab,罪石牢狱
AQUEDUCT,Putrified Ducts,裁定的管道
BELLTOWN,Bellhart,贝哈特
BAY,Pharloom Bay,滑域湾
ASPID,Great Chasm,巨大的鸿沟
MEMORY_RED,Red Memory,红色内存
BELLSHRINE,Bellshrine,贝尔什林
BELLVEIN,Bellvein,贝尔文
ARBORIUM,Memorium,纪念
WILDS,Far Fields,远场
