Key,EN,ZH
WOOD_WITCH_CURSE_ACCEPTED,&lt;hpage&gt;Very well. This final rite... what would you have me do?&lt;page&gt;The time... of birth is close. Now give... its shell. Host... the final rite.&lt;page&gt;The time of birth... is near.,＆lt; hpage＆gt;很好。这个最后的仪式...您会让我做什么？现在给...它的外壳。主持人...最终的仪式。＆lt; page＆gt;出生时间...即
SETH_GUARDIAN_TALK_REPEAT,"You may rest here in this sacred place, but know, if you choose to step further, you shall see my weapon raised.",您可以在这个神圣的地方休息，但要知道，如果您选择进一步，您将看到我的武器抬起。
WOOD_WITCH_CURSE_OFFER,The time... the time of birth approaches. The bud cries. Yearning. The final rite may begin.&lt;page&gt;White shell. Red cloak. Bug strong and old. The time of birth is near. Aid now the final rite.,时间...出生时间。芽哭了。向往。最终的仪式可以开始。红色斗篷。臭虫强壮。出生时间已经接近。现在援助最终仪式。
WOOD_WITCH_FLOWER_QUEST_COMPLETE_1,"P... Pollip Hearts. Gathered. Gathered all. All that is needed, is given.",P ... pollip心。聚集。全部收集。给出了所有所需的。
WOOD_WITCH_FLOWER_QUEST_DECLINE,"&lt;hpage&gt;I hear your request, but I must decline. My travels will take me far beyond this wood.&lt;page&gt;Decline. No. Decline, not. The time of birth approaches. The first rite must begin.",＆lt; hpage＆gt;我听到您的要求，但我必须拒绝。我的旅行将使我超越这种木材。否。衰落，不是。出生时间接近。必须开始第一个仪式。
WOOD_WITCH_FLOWER_QUEST_ACCEPT,"&lt;hpage&gt;If you have knowledge or power to grant, I will aid you. These Pollip Hearts you desire... they can be found about the wood?&lt;page&gt;P... Pollip Hearts. Found in the wood. Yes, bug.&lt;page&gt;Seek out the purple blooms. Inside... the hearts.&lt;page&gt;The time of birth approaches. Pollip Hearts are needed. Bring them, bug, and power will be shared.",＆lt; hpage＆gt;如果您有授予的知识或权力，我将为您提供帮助。您想要的这些pollip心...可以在木头上找到它们？在树林中发现。是的，错误。内部...心脏。需要Pollip心。将它们，错误和功率带来。
WOOD_WITCH_FLOWER_QUEST_COMPLETE_3,Bug. Cloaked by red. The time of rebirth approaches.&lt;page&gt;First rite is completed. Prepared. For the time of birth.&lt;page&gt;Take.... take. The refuse of the rite.,漏洞。被红色遮住。重生的时间接近。准备。在出生时期。仪式的垃圾。
WOOD_WITCH_FLOWER_QUEST_KEEPITEMS,Rrrr... rite. The first rite must begin. Pollip Hearts are needed.,rrrr ...仪式。必须开始第一个仪式。需要Pollip心。
WOOD_WITCH_CURSE_DECLINED,"&lt;hpage&gt;I am unable to help you. Not now. Perhaps another traveller will offer aid.&lt;page&gt;None... none come now. Once times, many bugs. Many. Now none. The final rite... the time of birth approaches...",＆lt; hpage＆gt;我无法帮助您。现在不要。也许另一个旅行者会提供援助。一次，许多错误。许多。现在没有。最后的仪式...出生时的时间...
WOOD_WITCH_MANDRAKE_ASK,Bug. Red cloak. Far-travelled. Bring it here... the bud.&lt;page&gt;It calls. It cries for the rite. Offer it.,漏洞。红色斗篷。遥远的旅行。将其带到这里... bud。＆lt; page＆gt;它调用。它为仪式哭泣。提供。
SETH_GUARDIAN_DECLINE,"Then go no further, that peace may remain between us.",然后再也没有进一步的，我们之间可能会保持和平。
WOOD_WITCH_MANDRAKE_ACCEPT,The bud... weak. New. It must be nourished.&lt;page&gt;Nnn... nourished. It will be nourished.,芽...虚弱。新的。必须滋养。＆lt; page＆gt; nnn ...滋养。它将得到滋养。
WOOD_WITCH_FLOWER_QUEST_ACCEPTED,"Seek out the purple blooms. Inside... the precious hearts.&lt;page&gt;The time of birth approaches. Pollip Hearts are needed. Bring them, bug, and power will be shared.",寻找紫色的花朵。内部...宝贵的心。需要Pollip心。将它们，错误和功率带来。
WOOD_WITCH_FLOWER_QUEST_REOFFER,"Bug. Only you are left. None more tread here. None.&lt;page&gt;For the rite. The Pollip Hearts. They are needed. Bring them here, for the rite.",漏洞。只有你离开。这里没有更多的踩踏。无。pollip的心。它们是需要的。将他们带到这里，参加仪式。
SETH_GUARDIAN_OFFER,Challenge the guardian?,挑战监护人？
WOOD_WITCH_FLOWER_QUEST_COMPLETE_2,The first rite. Rite of the pollip. The first rite can begin.,第一个仪式。Pollip的仪式。第一个仪式可以开始。
WOOD_WITCH_FLOWER_QUEST_CANCOMPLETE,"The precious hearts... Give them. For the time of birth, for the rite, they must bleed...",宝贵的心...给他们。在出生时期，对于仪式，他们必须流血...
WOOD_WITCH_FLOWER_QUEST_OFFER,"The.... the time of birth approaches. Now, the rite of the pollip.&lt;page&gt;Bug. Only you are left. None more tread here. None.&lt;page&gt;For the rite. The Pollip Hearts. They are needed. Bring them here, for the rite.",....出生时间接近。现在，pollip的仪式。＆lt; page＆gt;只有你离开。这里没有更多的踩踏。无。pollip的心。它们是需要的。将他们带到这里，参加仪式。
WOOD_WITCH_MEET,"Shhhh... shell. White mask, red cloak.&lt;page&gt;Bug. A living bug.&lt;hpage&gt;A bug I am, at least in part, but you are something quite different. I apologise if I have roused you from some deep slumber.&lt;page&gt;Slumber. Long sleep. But now is the waking.&lt;page&gt;Growth. Time of birth. The time of birth approaches.&lt;page&gt;Heed, bug. The time of birth approaches.",嘘...外壳。白色面具，红色斗篷。＆lt; page＆gt; bug。一个活生生的错误。我深表歉意，如果我从沉睡的沉睡中唤起了您。长时间睡眠。但是现在是醒来的。出生时间。出生时间接近。出生时间接近。
WOOD_WITCH_MANDRAKE_DECLINE,Th... the bud. It must be offered. It calls for it... for the rite.,...芽。必须提供。它要求它...为仪式。
WOOD_WITCH_REPEAT,The time will come... Soon. The time of birth approaches.,时间到了...很快。出生时间接近。
SETH_GUARDIAN_MEET,"Halt, stranger. I am charged forever to guard the sacred shrine beyond.&lt;page&gt;Any who wish to pass must cross their weapon with my own.",停顿，陌生人。我永远被指控守卫神圣的神社。
SETH_GUARDIAN_TALK1,"You may remain here and rest, if you choose. I am no enemy of yours. Only if you try to step beyond will I raise my weapon against you.&lt;hpage&gt;Then tell me, warrior, of the shrine you guard. These caves on wood&#8217;s edge seem long forgotten.&lt;page&gt;Some things may be hidden, but never forgotten. The shrine remains to remember the wood&#8217;s first seed, her that once was and always is.&lt;page&gt;I am the last bound to protect it. Sadly, in that service, many have fallen to my blade.",如果选择，您可能会留在这里并休息。我不是你的敌人。只有当您试图超越我，我才会向您提起武器。木材上的这些洞穴似乎已遗忘了。神社仍然要记住木材的第一个种子，她曾经是并且永远是。可悲的是，在这项服务中，许多人掉到了我的刀片上。
