Key,EN,ZH
HUNTER_FAN_02,Clever Nuu must know them all!,聪明的Nuu必须全部了解他们！
HUNTER_FAN_03,"Wings that beat, legs that crawl...",跳动的翅膀，爬行的腿...
HUNTER_FAN_04,In waters deep and caverns tall...,在深处和洞穴高的水中...
CITADEL_BAT_04,"Smaller, catch the prey!",较小，抓猎物！
BONEGRAVE_03,...Climb and serve...,...攀爬并服务...
SETH_GUARDIAN_03,Guardian&#8217;s call...,监护人的电话...
BROODMOTHER_01,"Hatchy, hatchy!",孵化，孵化！
UNDERWORKER_LOAM_01,See me work...,看到我工作...
GREY_WARRIOR_04,Watching... always...,看着...总是...
SLAB_FLY_CAGE_02,Lay yourself down...,放下自己...
ROACHKEEPER_04,None shall starve...,没有人会饿...
PILGRIM_GREATGATE_03,We have followed the path...,我们已经遵循了道路...
DOCK_ELDER_B_03,World&#8217;s blood runs hot...,世界的血液炎热...
BONE_HOPPER_04,"Mark of circle, mark of death...",圈子的标记，死亡标记...
FLEATOPIA_02,"The road behind us, all dangers passed...",我们身后的道路，所有危险都过去了...
SEAMSTRESS_01,Darn it. Stitch it. Make it whole...,该死。缝合它。使它整体...
ARCHITECT_01,...To mend...Unending...,...修补...无限...
THREAD_MEMORY_BLOOM_03,...To seed... To grow...,...种子...成长...
BELLTOWN_ACT3_06,Black threads...,黑线...
THREAD_MEMORY_ORGAN_TANK_02,She spun us to break...,她旋转我们打破...
THREAD_MEMORY_ORGAN_TANK_03,"Why us, sister?",为什么我们，姐姐？
SPIDER_GENERIC_04,Always ours...,永远是我们的...
THREAD_MEMORY_ORGAN_TANK_01,She spun us to fade...,她旋转我们褪色...
HUNTER_05,"No nest, no home...",没有巢，没有家...
THREAD_MEMORY_ORGAN_TANK_04,Why us?,为什么我们？
SPIDER_GENERIC_01,Our caves...,我们的洞穴...
SPIDER_GENERIC_02,Our darkness...,我们的黑暗...
SPIDER_GENERIC_03,To hide... To nest... To live...,隐藏...筑巢...活着...
PLINNEY_SHELLGRAVE_03,Claw&#8217;s touch... warm whisper...,爪子的触摸...温暖的耳语...
PLINNEY_SHELLGRAVE_02,"Shining moments, brief, eternal...",闪亮的时刻，简短，永恒...
THREAD_MEMORY_PONTIFF_03,We sang your chains...,我们唱了你的连锁店...
THREAD_MEMORY_ARCHITECT_03,Always another...,总是另一个...
