Key,EN,ZH
LARGE_COG_WORK_SUPER,,
WEAVE_ABYSS_MAIN,Absolom,绝对
ABYSS_MASS_SUB,,
WISP_MAIN,Wisp,小威斯特
CITADEL_SHRINE_SUB,,
COGWORK_DANCERS_SUB,,
ENCLAVE_PILGRIM_LARGE_ACT3_MAIN,Pilgrim,朝圣
GREEN_PRINCE_SUPER,,
BROODMOTHER_TINY_MAIN,Broodling,育种
FLEA_TRACKER_SUPER,,
CRADLE_SUPER,The,这
CORAL_KING_BC_SUPER,Crust King,外壳国王
FLEAMASTER_SUB,,
SPINNER_SUPER,,
SONG_GOLEM_MAIN,Chorus,合唱
GARMOND_SUPER,,
BELLWAY_PILGRIM_SUB,,
DUST_TRADERS_1_SUB,And Benjin,和本金
BONEBOTTOM_SUB,,
CITY_MERCHANT_MAIN,Jubilana,朱比拉纳
MAPPER_SUPER,,
BB_PILGRIM_ROUND_MAIN,Pilgrim,朝圣
FLOWER_QUEEN_MAIN,Nyleth,尼尔
UNDERSTORE_SUB,,
STEEL_SERVANT_MAIN,Sula,苏拉
UNDERSTORE_MAIN,Underworks,在工作之下
DUST_TRADERS_1_SUPER,,
DUSTPENS_SUB,,
SPINNER_MAIN,Widow,寡妇
WISP_SUPER,,
FLEAMEMBER_SHORT_MAIN,Grishkin,格里希金
BB_PILGRIM_ROUND_SUB,,
ICECORE_MAIN,Brightvein,Brightvein
WARD_MAIN,Whiteward,白人
WARD_BOSS_MAIN,Unravelled,解开
DOCTOR_SUB,,
DOCK_GUARD_THROWER_MAIN,Gron,格朗
JUDGE_GATE_PILGRIM_SUPER,Tall,高的
HH_BARTENDER_MAIN,Creige,克里格
BIG_CENTIPEDE_MAIN,Bell Eater,贝尔食者
GIANT_BONE_FLYER_SUB,,
BB_PILGRIM_HORNED_MAIN,Pilgrim,朝圣
BIG_CENTIPEDE_SUPER,,
MR_MUSHROOM_SUPER,Mister,先生
BELL_HERMIT_MAIN,Hermit,隐士
WILDS_SUB,,
UNDERSTORE_SUPER,,
HUNTRESS_RUNT_SUPER,,
CORAL_STEPS_SUPER,Blasted,爆炸
FLEACARAVAN_SUPER,Flea,跳蚤
MOSSCREEP_SUPER,Moss,苔藓
ZAPNEST_BOSS_MAIN,Voltvyrm,Voltvyrm
LIBRARIAN_RELIC_MAIN,Cardinius,Cardinius
MASK_MAKER_SUPER,,
STEEL_SERVANT_SUB,,
FLEAMEMBER_TALL_MAIN,Varga,瓦尔加
SETH_SUPER,Shrine Guardian,神社监护人
LADYBUG_LARGE_MAIN,Loddie,洛迪
HUNTER_QUEEN_BC_SUPER,Skarrsinger,Skarrsinger
FLEATOPIA_SUPER,,
DOCK_GUARD_THROWER_SUB,,
SEAMSTRESS_SUPER,,
FLEA_LECH_SUB,,
CORAL_KING_SUB,,
CREST_UPG_SHRINE_SUB,,
ORGAN_SUPER,Exhaust,排气
LIBRARY_MAIN,Vaults,拱顶
FLEAMASTER_MAIN,Mooshka,穆什卡
BELLHART_SHOPKEEP_MAIN,Frey,弗雷
DOCKS_MAIN,Docks,码头
SHERMA_PILGRIM_SUPER,Weary,厌倦
CHAPEL_WARRIOR_SUPER,Chapel of the,教堂
SLAB_SUPER,The,这
GRUBFARMER_MIMIC_SUB,,
FLEA_JUGGLE_SUB,,
GARMOND_BT_MAIN,Garmond,Garmond
DRILLERS_SUB,,
ZAPNEST_SUB,,
DUSTPENS_MAIN,Sinner&#8217;s Road,罪人的路
CHAPEL_WITCH_SUPER,Chapel of the,教堂
DOCTOR_SUPER,,
CRAWL_SUB,,
SPLINTER_QUEEN_SUB,,
MOSSBONE_MOTHER_SUB,,
ENCLAVE_PILGRIM_SUB,,
DOCK_GUARD_DUO_SUPER,Forebrothers,前兄弟
LADYBUG_LARGE_SUB,,
GREEN_PRINCE_SUB,,
DOCTOR_MAIN,Yarnaby,Yarnaby
DOCK_GUARD_SOLO_SUPER,Forebrother,前兄弟
PILGRIM_REST_SHOP_MAIN,Mort,莫特
FLEAMASTER_SUPER,Fleamaster,fleamaster
