Key,EN,ZH
EQUIP_BENCH_MSG_CURSED_TOOL,Cannot equip Tools,无法设备工具
SYRINGE_LIFEBLOOD_DESC,Spear-phial containing Plasmium.&lt;br&gt;&lt;br&gt;Injecting the liquid allows one to gain health beyond their natural limits.,含有质子的长矛 -  lt; br＆gt;＆lt; br＆gt;注射液体可以使人们获得自然限制的健康。
QUICKBIND_DESC,Brace of surgical pins from the Whiteward. Used to forcefully insert Silk deep inside a bug&#8217;s shell. &lt;br&gt;&lt;br&gt;Increases the speed of binding.,来自Whiteward的手术别针的支撑。用来将丝绸在虫子内深处插入。＆lt; br＆gt;＆lt; br＆gt;提高了绑定速度。
EQUIP_BENCH_MSG_TRANSFORM,Transform Tools while resting at a bench.,在长凳上休息时改变工具。
THIEF_CLAW_DESC,"Hooked tool for the forceful retrieval of loot from bugs and husks.&lt;br&gt;&lt;br&gt;Harpoon into foes to steal rosaries and shell shards, while causing additional damage.",挂钩的工具，可以从虫子和果壳中取回战利品。
BARBED_WIRE_DESC,"Vicious bracelet worn by those who believe they have not been duly punished.&lt;br&gt;&lt;br&gt;Increases damage taken, but also increases damage dealt by the needle.",那些认为自己没有受到适当惩罚的人戴的恶性手镯。
UI_BUTTON_EQUIP,Equip Tool,设备工具
DAZZLE_BIND_UPG_NAME,Claw Mirrors,爪镜
UI_PROMPT_UNLOCK_SLOT,Expand,扩张
ROSARYCANNON_NAME,Rosary Cannon,念珠大炮
CREST_HUNTER_DESC,Stalk prey and attack with lethal strikes.,缠扰猎物和致命的袭击。
SILKSHOT_NAME,Silkshot,丝绸
EQUIP_BENCH_MSG_TOOL,Equip Tools while resting at a bench.,在长凳上休息时设备工具。
CREST_PILGRIM_NAME,Wanderer,流浪者
PINSTRESS_NAME,Pin Badge,别针徽章
UI_BUTTON_TOGGLE_STATE,Transform,转换
BROLLYSPIKE_DESC,"Flexible belt of serrated metal teeth, able to affixed to the hem of a cloak.&lt;br&gt;&lt;br&gt;Flaring the cloak will spin the blades, damaging surrounding enemies.",锯齿状金属牙齿的柔性带，能够固定在斗篷的下摆。
TACK_DESC,Short pins designed to be scattered along the ground.&lt;br&gt;&lt;br&gt;The sharp points will pierce any enemy who steps upon them.,旨在散布在地面上的短销。
MULTIBIND_NAME,Multibinder,多泡
DAZZLE_BIND_UPG_DESC,"Twin theatrical tools of a vainglorious bug.&lt;br&gt;&lt;br&gt;When binding, emits a searing blast that damages surrounding enemies.",vaingloious的虫子的双戏剧工具。
UI_BUTTON_VIEW_CRESTS,View Crests,查看波峰
UI_BUTTON_SELECT_CREST,Select Crest,选择波峰
CREST_HUNTER_UPGRADED_DESC,Stalk prey and attack with lethal strikes. Build focus with successive strikes.,缠扰猎物和致命的袭击。连续罢工建立重点。
CONCH_DRILL_NAME,Conchcutter,交叉
FLEA_CHARM_NAME,Egg of Flealia,弗莱利亚鸡蛋
LIGHTNING_ROD_NAME,Voltvessels,VoltVessels
WALLCLING_NAME,Ascendant&#8217;s Grip,上升的抓地力
LONGNEEDLE_NAME,Longclaw,长爪
CONCH_DRILL_DESC,"Spiral weapon fashioned from a hardened conchspire.&lt;br&gt;&lt;br&gt;Thrown at an angle, it can ricochet and catch prey off-guard.",螺旋武器是用硬化的螺旋架制成的。
ZAP_IMBUEMENT_NAME,Volt Filament,伏丝
