Key,EN,ZH
INV_DESC_MOSSBERRY,Sweet fruit that grows in moist environments. Its seeds are toxic to most creatures.,生长在潮湿环境中的甜味浆果，种子对大多数生物有毒。
INV_NAME_DRESS_BROLLY,Drifter&#8217;s Cloak,流浪者披风
INV_NAME_SHELL_FLOWER,Pollip Heart,花芯
RELIC_SEAL_CHIT_MEMORIUM_DESC,Report of the Memorium and its maintenance.&lt;br&gt;&lt;br&gt;&#8220;Containment fails. Memory lost. Excise outer. Maintain inner.&lt;br&gt;Shellwood stasis sustained - Remember.&lt;br&gt;Marrowlands stasis critical - Remember.&lt;br&gt;Verdanian environment exceeded - Destined to forget.&#8221;,忆廊维缮报告。&lt;br&gt;&lt;br&gt;&#8220;封存溃败。记忆遗失。切除外区。维持内区。&lt;br&gt;甲木林封存稳定——须铭记。&lt;br&gt;髓骨地封存危急——须铭记。&lt;br&gt;翠庭生态失控——注定遗忘。&#8221;
INV_NAME_HEART_BLOOM,Pollen Heart,花粉之心
INV_DESC_SHARD_POUCH_USE,Contains {0} shell shards.,内含{0}块甲壳碎片。
CTRL_ZOOM_OUT,Zoom Out,缩小
INV_NAME_MEMENTO_FLEA,Fleatopia Memento,蚤托邦忆痕
INV_DESC_CRAWBELL,"Nest fashioned from an old bell. Once set up, young Craws will occasionally roost within, filling the bell with shell shards and rosaries.&lt;br&gt;&lt;br&gt;The Crawbell can be installed on the exterior of a home.",由旧钟改造的虫巢。安装后，腐囊虫幼体会偶尔栖息其中，留下甲壳碎片与念珠。&lt;br&gt;&lt;br&gt;腐囊钟巢可安装在钟居外部。
INV_NAME_MAPANDQUILL,Map &amp; Quill,地图 &amp; 羽毛笔
CTRL_ROLL,Roll,掷骰
INV_DESC_ROCK_ROLLER_ITEM,"Gem-like organ taken from a Flintbeetle. Produces incendiary sparks when abraded, and may explode if cracked or dropped.",燧甲虫体内的晶状结构。摩擦生火，碰撞易爆。
INV_NAME_R_PSALM_CYL_MELODY,Sacred Cylinder,圣歌音筒
SHOP_SHELLFRAG_NAME,Mask Shard,面甲残片
INV_DESC_CREST_SOCKET,Keepsake containing a precious memory. Can be used to expand a Crest.&lt;br&gt;&lt;br&gt;Expand Crests in the Crest pane of the Menu.,存储珍贵记忆的纪念盒，用于扩展纹章容量。&lt;br&gt;&lt;br&gt;可在菜单的纹章界面扩展纹章容量。
