Key,EN,ZH
SNAILS_ACT3_MEET_PT2,"&lt;page=S&gt;You seem displeased, Old One. We only did as you asked, yes? The snare is sprung, the creature consumed.&lt;hpage&gt;You bound it to that void!&lt;page=S&gt;Don&#8217;t play daft. You should well know our family&#8217;s fixations. Surely you had a hunch?&lt;page=B&gt;How else could we hope to trap one of your pale kin? Or see her consumed with such insatiable efficiency?&lt;hpage&gt;Then you have miscalculated, gravely. The white knight, she fell with the mother...&lt;page=M&gt;Oh ho... The quakes, yes? We have felt their force, even here. So the mother resists the dark... to save the child?&lt;hpage&gt;That is my guess. I must descend to the void below, and see clear that truth for myself.&lt;page=M&gt;Ohhhh. How… unfortunate. All of Pharloom will fall to her flailing.&lt;hpage&gt;So it may, but I will not watch idle while it crumbles.",＆lt; page = s＆gt;您似乎不满，老一个。我们只按照您的问，是吗？圈套弹跳，被消耗的生物。您应该知道我们的家人的固定。当然，您有一个直觉的？还是看到她以如此无限的效率消耗了？白骑士，她和母亲一起摔倒...即使在这里，我们也感受到了他们的力量。因此，母亲抵制了黑暗...拯救孩子？＆lt; hpage＆gt;那是我的猜测。我必须降到下面的空白，并为我自己看真实。＆page = m＆gt; ohhhh。多……不幸。所有的伪装都会落在她的flain脚上。
GRINDLE_ITEM_TOOL_METAL,"This lump here is well heavy, and shiny too, so it&#8217;s surely worth somethin&#8217;!",这里的肿块也很重，也有光泽，所以它肯定值得一像！
GRINDLE_SHOP_REPEAT_ACT3,"Desperate times make for desperate customers, heh heh! So let&#8217;s get to tradin&#8217;, eh?",绝望的时刻是绝望的顾客，呵呵！因此，让我们进入Tradin＆＃8217; eh吗？
SPRINTMASTER_HERO_WIN_PRE_2,"Again... Huu... Huu. Truly incredible!&lt;page&gt;Was it the course? Did I lose focus? Or are you simply the bug I have waited so long for? Her of such skill that my wish could, at last, be granted?&lt;page&gt;Another reward must be given for your speed, nimble bug. One deserved in full!",再次...胡...侯。真的令人难以置信！我失去了焦点吗？还是您只是我等待了这么久的错误？她的技巧使我的愿望终于可以得到吗？一个值得完整的！
HUNTER_FAN_HINT_ZANGO,"Have you heard, miss grown-up? Beyond the moss, in the crumbled caverns filled with worms, much change is happening, different to the horrid, stretching dark outside.&lt;page&gt;What brings such bright and bold transformation? Is it a beast? Or a bug unseen? How wondrous it would be to discover them, hidden away in some deep corner!&lt;page&gt;You must go searching, miss grown-up! You and that sharp, sharp blade. Think of the strange and succulent shell waiting to be added to your journal?",你听说过吗，小姐成年？除了苔藓之外，在充满蠕虫的碎洞穴中，正在发生许多变化，与可怕的，外面伸展的黑暗。是野兽吗？还是看不见的错误？发现它们是多么奇妙的东西，隐藏在一个深处的角落！您和那个锋利，锋利的刀片。想想奇怪而多汁的外壳等待添加到您的日记中吗？
SHERMA_BELLHART_MEET,"Now, isn&#8217;t this a wondrous place! Golden bells, for weary shells! Ha ha ha!&lt;hpage&gt;This settlement offers safety now, little pilgrim. Perhaps you should make a home here?&lt;hpage&gt;You&#8217;ve done well to make it this far, and the roads ahead will only be more dangerous.&lt;page&gt;Oh, dangerous they surely are! But I will gladly tread any path that holds wonders as magnificent as this, red maiden!",现在，这是一个奇妙的地方！金铃，疲倦的贝壳！哈哈！也许您应该在这里回家？但是，我很乐意踏上任何使奇观的道路，红色的少女！
MAPPER_MEET_BONE_1C,"&lt;hpage&gt;You have keen sight for my skill, bug, but my childhood has long since passed. What has happened here? I see signs of battle all around.",＆lt; hpage＆gt;您对我的技能有敏锐的视线，但我的童年很早就过去了。这里发生了什么？我看到周围的战斗迹象。
HORNET_SILENCE,&lt;hpage&gt;...,＆lt; hpage＆gt; ...
MAPPER_WHITE_FLOWER_ACT3,"&lt;hpage&gt;The time is close, Shakra. The cost was grave, and the challenge steep, but I have claimed a power that can put end to this disaster. &lt;page&gt;Gendaa... This is good, Hornet Wielding Needle, essential. My own strength has near reached its limit, and the dark husks continue their assault unceasing.&lt;page&gt;Take your final action, and let us all see the end of this.",＆lt; hpage＆gt;时间很近，Shakra。费用是严重的，挑战很大，但我声称可以终结这场灾难的权力。＆lt; page＆gt; gendaa ...这很好，大黄蜂挥舞着针，必不可少的。我自己的力量接近了极限，黑暗的果壳继续袭击不断。
SETH_FESTIVAL_REPEAT_POST_MEMENTO,"Your achievements in the games are inspiring! In time, I may have to challenge those impressive scores...",您在游戏中的成就令人鼓舞！随着时间的流逝，我可能必须挑战那些令人印象深刻的分数...
